source_enum	members	decision	current_enums	member_reuse	reason
include/kf/debug.h:KfFormatDigitState	KF_FORMAT_DIGITS_LEADING=0;KF_FORMAT_DIGITS_EMITTED=1	retain	include/kf/debug.h:KfFormatDigitState		Leading/emitted tracks the formatter's digit state; it is separate from conversion parsing and space/zero padding.
include/kf/debug.h:KfFormatParserState	KF_FORMAT_PARSER_TEXT=0;KF_FORMAT_PARSER_CONVERSION=1	retain	include/kf/debug.h:KfFormatParserState		Text/conversion selects the formatter parser branch; digit emission and padding remain independent state variables.
include/kf/debug.h:KfFormatPaddingMode	KF_FORMAT_PAD_SPACES=0;KF_FORMAT_PAD_ZEROES=1	retain	include/kf/debug.h:KfFormatPaddingMode		Space/zero padding selects emitted bytes; it is not the digit parser state despite the same two encodings.
include/kf/debug.h:KF_FORMAT_LEADING_PAD_BYTES	KF_FORMAT_LEADING_PAD_BYTES=8;KF_FORMAT_DECIMAL_DIGITS=10;KF_FORMAT_DECIMAL_HIGHEST_PLACE=1000000000;KF_FORMAT_HEX_DIGITS=8;KF_FORMAT_HEX_HIGHEST_PLACE=268435456;KF_FORMAT_WIDTH_UNSPECIFIED=255	retain	include/kf/debug.h:KF_FORMAT_LEADING_PAD_BYTES		Shared formatter storage and decimal/hex representation limits already serve both images; width-unspecified is a parsing sentinel.
include/kf/floor.h:KfFloorId	KF_FLOOR_1=1;KF_FLOOR_2=2;KF_FLOOR_3=3;KF_FLOOR_4=4;KF_FLOOR_5=5;KF_FLOOR_FORCE_RELOAD=255	retain	include/kf/floor.h:KfFloorId		Floor numbers and force-reload travel through the map-loading API; map variants are an additional, independent selector.
include/kf/floor.h:KfMapVariant	KF_MAP_VARIANT_DEFAULT=0;KF_FLOOR5_ENTRY_VARIANT=1;KF_MAP_VARIANT_2=2;KF_FLOOR5_ALTERNATE_MUSIC_VARIANT=3	retain	include/kf/floor.h:KfMapVariant		Variant IDs select a floor's asset/music variant; floor numbers remain separate even when both appear in one load call.
include/kf/game_actor.h:KF_ACTOR_DEFINITION_COUNT	KF_ACTOR_DEFINITION_COUNT=12;KF_ACTOR_DEFINITION_WORD_COUNT=456;KF_ACTOR_ATTACHMENT_OFFSET_COUNT=2;KF_ACTOR_CAPACITY=128	retain	include/kf/game_actor.h:KF_ACTOR_DEFINITION_COUNT		Actor definition counts, pool capacity, record words and attachment slots bound different storage objects; none is a combat component count.
include/kf/game_actor.h:KfActorSlotState	KF_ACTOR_SLOT_DYNAMIC=0;KF_ACTOR_SLOT_PERSISTENT=1;KF_ACTOR_SLOT_RESPAWNING=2;KF_ACTOR_SLOT_HOMEBOUND=3;KF_ACTOR_SLOT_FREE=255	retain	include/kf/game_actor.h:KfActorSlotState		Slot provenance/free state controls allocation and respawn ownership; actor lifecycle and current action are independent fields.
include/kf/game_actor.h:KfActorLifecycle	KF_ACTOR_LIFECYCLE_DORMANT=0;KF_ACTOR_LIFECYCLE_ACTIVE=1;KF_ACTOR_LIFECYCLE_WAIT_FOR_RANGE_EXIT=2;KF_ACTOR_LIFECYCLE_DISABLED=3	retain	include/kf/game_actor.h:KfActorLifecycle		Activation lifecycle is independent of the slot's provenance and current action, including active actors running different actions.
include/kf/game_actor.h:KfActorCullingMode	KF_ACTOR_CULL_VISIBILITY_GRID=0;KF_ACTOR_CULL_NEAR_SQUARE=1	retain	include/kf/game_actor.h:KfActorCullingMode		Visibility-grid/near-square selects culling policy; the placement flag already maps to this enum rather than duplicating a type.
include/kf/game_actor.h:KfActorAction	KF_ACTOR_ACTION_IDLE=0;KF_ACTOR_ACTION_WANDER=1;KF_ACTOR_ACTION_PURSUE=2;KF_ACTOR_ACTION_RETREAT=3;KF_ACTOR_ACTION_MELEE_ATTACK=4;KF_ACTOR_ACTION_HIT_REACTION=5;KF_ACTOR_ACTION_DYING=6;KF_ACTOR_ACTION_JUMP_ATTACK=16;KF_ACTOR_ACTION_SPECIAL_ATTACK=17;KF_ACTOR_ACTION_DRIFT=18;KF_ACTOR_ACTION_EFFECT0=19;KF_ACTOR_ACTION_EFFECT1=20;KF_ACTOR_ACTION_EFFECT2=21;KF_ACTOR_ACTION_MULTI_HIT_ATTACK=22;KF_ACTOR_ACTION_EXIT_BLOCKED_PLACEMENT=32;KF_ACTOR_ACTION_RETURN_HOME=33;KF_ACTOR_ACTION_POST_DEATH=127;KF_ACTOR_ACTION_NONE=255	retain	include/kf/game_actor.h:KfActorAction		Actor dispatcher opcodes differ from animation-slot indices after the early actions; one cannot replace the other directly.
include/kf/game_actor.h:KfActorActionProgress	KF_ACTOR_PROGRESS_INIT=0;KF_ACTOR_PROGRESS_RUNNING=1;KF_ACTOR_PROGRESS_JUMP_RISING=1;KF_ACTOR_PROGRESS_JUMP_ATTACK_PENDING=2;KF_ACTOR_PROGRESS_JUMP_WAIT_FOR_LANDING=3;KF_ACTOR_PROGRESS_DRIFT_COLLIDED=2;KF_ACTOR_PROGRESS_POST_DEATH_END=7;KF_ACTOR_PROGRESS_BACKOFF_END=11;KF_ACTOR_PROGRESS_BACKOFF_BASE=13;KF_ACTOR_PROGRESS_BACKOFF_LAST=28;KF_ACTOR_PROGRESS_LOCKED=240;KF_ACTOR_PROGRESS_COMPLETE=255	retain	include/kf/game_actor.h:KfActorActionProgress		Progress is a counter with action-specific phase markers. Repeated numeric phases describe different transitions within this already shared domain.
include/kf/game_actor.h:KfActorMoveDirection	KF_ACTOR_MOVE_BACKWARD=-1;KF_ACTOR_MOVE_FORWARD=1	retain	include/kf/game_actor.h:KfActorMoveDirection		Backward/forward is signed -1/+1 movement, distinct from animation blend direction's zero/one encoding.
include/kf/game_actor.h:KfActorCollisionPolicy	KF_ACTOR_COLLISION_STEER=0;KF_ACTOR_COLLISION_STOP=1	retain	include/kf/game_actor.h:KfActorCollisionPolicy		Collision policy chooses steering versus stopping; collision results and actual sliding state are separately produced values.
include/kf/game_actor.h:KfActorMoveResult	KF_ACTOR_MOVE_SUCCEEDED=0;KF_ACTOR_MOVE_BLOCKED=1	retain	include/kf/game_actor.h:KfActorMoveResult		Movement success/blockage is the return protocol of actor movement; it does not encode the three-state collision field.
include/kf/game_actor.h:KfActorVerticalState	KF_ACTOR_VERTICAL_NONE=0;KF_ACTOR_VERTICAL_STEP_UP=1;KF_ACTOR_VERTICAL_FALL=2;KF_ACTOR_VERTICAL_LONG_DROP=3;KF_ACTOR_VERTICAL_JUMP_ATTACK=4	retain	include/kf/game_actor.h:KfActorVerticalState		Actor step/fall/jump states differ from player vertical-state codes and include long-drop/jump-attack branches.
include/kf/game_actor.h:KfActorCollisionState	KF_ACTOR_COLLISION_CLEAR=0;KF_ACTOR_COLLISION_SLIDING=1;KF_ACTOR_COLLISION_BLOCKED=2	retain	include/kf/game_actor.h:KfActorCollisionState		Clear/sliding/blocked are actual collision outcomes; the two-valued stop/steer input is a policy rather than an outcome.
include/kf/game_actor.h:KF_ACTOR_ANIM_SLOT_IDLE	KF_ACTOR_ANIM_SLOT_IDLE=0;KF_ACTOR_ANIM_SLOT_MOVE=1;KF_ACTOR_ANIM_SLOT_MELEE=2;KF_ACTOR_ANIM_SLOT_HIT_REACTION=3;KF_ACTOR_ANIM_SLOT_DEATH=4;KF_ACTOR_ANIM_SLOT_JUMP_ATTACK=5;KF_ACTOR_ANIM_SLOT_SPECIAL_ATTACK=6;KF_ACTOR_ANIM_SLOT_DRIFT=7;KF_ACTOR_ANIM_SLOT_EFFECT0=8;KF_ACTOR_ANIM_SLOT_EFFECT1=9;KF_ACTOR_ANIM_SLOT_EFFECT2=10;KF_ACTOR_ANIM_SLOT_MULTI_HIT_ATTACK=11;KF_ACTOR_ANIM_SLOT_COUNT=16	retain	include/kf/game_actor.h:KF_ACTOR_ANIM_SLOT_IDLE		Definition animation slots are indices into three parallel tables, not actor dispatcher opcodes or animation-resource clip IDs.
include/kf/game_actor.h:KF_ACTOR_ANIMATION_PHASE_PERIOD	KF_ACTOR_ANIMATION_PHASE_PERIOD=4096;KF_ACTOR_ANIMATION_PHASE_MAX=4095;KF_ACTOR_AIM_TOLERANCE=341	retain	include/kf/game_actor.h:KF_ACTOR_ANIMATION_PHASE_PERIOD		Animation phase period/mask and actor aim cone retain distinct units; equal angle masks do not identify an animation clock.
include/kf/game_actor.h:KF_ACTOR_SOUND_ATTACK	KF_ACTOR_SOUND_ATTACK=0;KF_ACTOR_SOUND_HIT_REACTION=1;KF_ACTOR_SOUND_DEATH=2;KF_ACTOR_SOUND_COUNT=3	retain	include/kf/game_actor.h:KF_ACTOR_SOUND_ATTACK		Actor attack/hit/death sound slots differ from the player attack/death/level-up order.
include/kf/game_actor.h:KF_ACTOR_ATTACK_CUTTING	KF_ACTOR_ATTACK_CUTTING=0;KF_ACTOR_ATTACK_STRIKING=1;KF_ACTOR_ATTACK_PIERCING=2;KF_ACTOR_ATTACK_COMPONENT_COUNT=3	reuse	include/kf/combat.h:KF_COMBAT_COMPONENT_CUTTING	KF_ACTOR_ATTACK_CUTTING=include/kf/combat.h:KF_COMBAT_COMPONENT_CUTTING;KF_ACTOR_ATTACK_STRIKING=include/kf/combat.h:KF_COMBAT_COMPONENT_STRIKING;KF_ACTOR_ATTACK_PIERCING=include/kf/combat.h:KF_COMBAT_COMPONENT_PIERCING;KF_ACTOR_ATTACK_COMPONENT_COUNT=include/kf/combat.h:KF_COMBAT_PHYSICAL_COMPONENT_COUNT	Remove the actor attack aliases; use the common combat component indices and physical count directly.
include/kf/game_actor.h:KF_ACTOR_DEFENSE_CUTTING	KF_ACTOR_DEFENSE_CUTTING=0;KF_ACTOR_DEFENSE_STRIKING=1;KF_ACTOR_DEFENSE_PIERCING=2;KF_ACTOR_DEFENSE_HOLY=3;KF_ACTOR_DEFENSE_FIRE=4;KF_ACTOR_DEFENSE_COMPONENT_COUNT=5	reuse	include/kf/combat.h:KF_COMBAT_COMPONENT_CUTTING	KF_ACTOR_DEFENSE_CUTTING=include/kf/combat.h:KF_COMBAT_COMPONENT_CUTTING;KF_ACTOR_DEFENSE_STRIKING=include/kf/combat.h:KF_COMBAT_COMPONENT_STRIKING;KF_ACTOR_DEFENSE_PIERCING=include/kf/combat.h:KF_COMBAT_COMPONENT_PIERCING;KF_ACTOR_DEFENSE_HOLY=include/kf/combat.h:KF_COMBAT_COMPONENT_HOLY;KF_ACTOR_DEFENSE_FIRE=include/kf/combat.h:KF_COMBAT_COMPONENT_FIRE;KF_ACTOR_DEFENSE_COMPONENT_COUNT=include/kf/combat.h:KF_COMBAT_COMPONENT_COUNT	Remove the actor defense aliases; use the common combat component indices and full count directly.
include/kf/game_actor.h:KF_ACTOR_MULTI_HIT_FORWARD_MIN_RANGE	KF_ACTOR_MULTI_HIT_FORWARD_MIN_RANGE=8000;KF_ACTOR_MULTI_HIT_MAX_RANGE=11000;KF_ACTOR_BOSS_DEATH_SOUND_COUNT=4	retain	include/kf/game_actor.h:KF_ACTOR_MULTI_HIT_FORWARD_MIN_RANGE		Multi-hit range thresholds and the boss-death sound count address different parts of actor behavior and are not projectile target limits.
include/kf/game_actor.h:KF_ACTOR_PLACEMENT_DEFINITION_MASK	KF_ACTOR_PLACEMENT_DEFINITION_MASK=31;KF_ACTOR_PLACEMENT_NEAR_SQUARE_CULLING=32	retain	include/kf/game_actor.h:KF_ACTOR_PLACEMENT_DEFINITION_MASK		Placement definition-index bits and the culling flag encode a packed placement byte; actor effect payload bits belong to another format.
include/kf/game_actor.h:KF_ACTOR_ACTION_PROFILE_COUNT	KF_ACTOR_ACTION_PROFILE_COUNT=25	retain	include/kf/game_actor.h:KF_ACTOR_ACTION_PROFILE_COUNT		The action-profile count bounds the curated profile table, independent of effect/magic record count and runtime actor capacity.
include/kf/game_actor.h:KfActorEffectSlot	KF_ACTOR_EFFECT_SLOT_FIRST=0;KF_ACTOR_EFFECT_SLOT_SECOND=1;KF_ACTOR_EFFECT_SLOT_THIRD=2	retain	include/kf/game_actor.h:KfActorEffectSlot		Effect slot selects matching parameter, chance and attachment rows; it is not an effect-kind ID.
include/kf/game_actor.h:KfActorEffectCode	KF_ACTOR_EFFECT_CODE_NONE=0;KF_ACTOR_EFFECT_CODE_LIGHTNING_BOLT=4;KF_ACTOR_EFFECT_CODE_FIRE_BALL=5;KF_ACTOR_EFFECT_CODE_GROUND_BRANCH=6;KF_ACTOR_EFFECT_CODE_WIND_CUTTER=7;KF_ACTOR_EFFECT_CODE_LIGHT_NEEDLE=8;KF_ACTOR_EFFECT_CODE_ACTOR_SPAWNER=9;KF_ACTOR_EFFECT_CODE_SCATTER_PROJECTILE=10;KF_ACTOR_EFFECT_CODE_DARKNESS_PROJECTILE=11;KF_ACTOR_EFFECT_CODE_CURSE_PROJECTILE=12;KF_ACTOR_EFFECT_CODE_EMERGING_PROJECTILE=13;KF_ACTOR_EFFECT_CODE_PHYSICAL_PROJECTILE=22;KF_ACTOR_EFFECT_CODE_LIGHTNING_ALTERNATE=23;KF_ACTOR_EFFECT_CODE_HOMING_ALTERNATE=24;KF_ACTOR_EFFECT_KIND_MASK=31;KF_ACTOR_EFFECT_PAIRED=32;KF_ACTOR_EFFECT_CODE_UNSET=255	reuse	include/kf/game_actor.h:KfActorEffectCode;include/kf/magic.h:KfEffectKind	KF_ACTOR_EFFECT_CODE_LIGHTNING_BOLT=include/kf/magic.h:KF_MAGIC_LIGHTNING_BOLT;KF_ACTOR_EFFECT_CODE_FIRE_BALL=include/kf/magic.h:KF_MAGIC_FIRE_BALL;KF_ACTOR_EFFECT_CODE_GROUND_BRANCH=include/kf/magic.h:KF_MAGIC_FIRE_WALL;KF_ACTOR_EFFECT_CODE_WIND_CUTTER=include/kf/magic.h:KF_MAGIC_WIND_CUTTER;KF_ACTOR_EFFECT_CODE_LIGHT_NEEDLE=include/kf/magic.h:KF_MAGIC_LIGHT_NEEDLE;KF_ACTOR_EFFECT_CODE_ACTOR_SPAWNER=include/kf/magic.h:KF_EFFECT_KIND_ACTOR_SPAWNER;KF_ACTOR_EFFECT_CODE_SCATTER_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_SCATTER_PROJECTILE;KF_ACTOR_EFFECT_CODE_DARKNESS_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_DARKNESS_PROJECTILE;KF_ACTOR_EFFECT_CODE_CURSE_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_CURSE_PROJECTILE;KF_ACTOR_EFFECT_CODE_EMERGING_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_EMERGING_PROJECTILE;KF_ACTOR_EFFECT_CODE_PHYSICAL_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_PHYSICAL_PROJECTILE;KF_ACTOR_EFFECT_CODE_LIGHTNING_ALTERNATE=include/kf/magic.h:KF_EFFECT_KIND_LIGHTNING_BOLT_ALTERNATE;KF_ACTOR_EFFECT_CODE_HOMING_ALTERNATE=include/kf/magic.h:KF_EFFECT_KIND_HOMING_PROJECTILE_ALTERNATE	Keep only the packed code's mask, paired flag and sentinels; masked payload consumers now use the canonical spell/effect enum directly.
include/kf/game_actor.h:KF_ACTOR_EFFECT_PARAMETER_COUNT	KF_ACTOR_EFFECT_PARAMETER_COUNT=3	retain	include/kf/game_actor.h:KF_ACTOR_EFFECT_PARAMETER_COUNT		Three effect-parameter slots describe each actor action record; equal vector/physical-component dimensions refer to different fields.
include/kf/game_actor.h:KF_ACTOR_DAMAGE_SCALE_ONE	KF_ACTOR_DAMAGE_SCALE_ONE=5000	retain	include/kf/game_actor.h:KF_ACTOR_DAMAGE_SCALE_ONE		Actor damage magnitude uses its own decimal scale of 5000; player full charge and sound distance use unrelated units.
include/kf/game_actor.h:KfActorHeadingQuadrant	KF_ACTOR_HEADING_0=0;KF_ACTOR_HEADING_90=1;KF_ACTOR_HEADING_180=2;KF_ACTOR_HEADING_270=3	retain	include/kf/game_actor.h:KfActorHeadingQuadrant		Quarter headings encode 0..3, while map orientation and floor-sprite facing use different rotation/packed encodings.
include/kf/game_asset.h:KF_ASSET_ARCHIVE_HEADER_BYTES	KF_ASSET_ARCHIVE_HEADER_BYTES=4;KF_ASSET_ACTOR_FIRST=0;KF_ASSET_MAP_EVENT_FIRST=10;KF_ASSET_WEAPON=20;KF_ASSET_EFFECT_SPRITES=21;KF_ASSET_EFFECT_FIRST=30;KF_ASSET_REGISTRY_KNOWN_ENTRIES=48;KF_WEAPON_ASSET_BUFFER_BYTES=49152	retain	include/kf/game_asset.h:KF_ASSET_ARCHIVE_HEADER_BYTES		Asset registry indices and archive-header size belong to the asset format. The enclosing resource chunk has a separate length header.
include/kf/game_cd.h:KF_CD_FILE_TABLE_ENTRIES	KF_CD_FILE_TABLE_ENTRIES=80;KF_CD_FILE_NAME_BYTES=12	retain	include/kf/game_cd.h:KF_CD_FILE_TABLE_ENTRIES		The fixed CD lookup table's row count and twelve-byte names differ from path buffers and item database capacity.
include/kf/game_collision.h:KF_COLLISION_SKIP_TERRAIN	KF_COLLISION_SKIP_TERRAIN=1;KF_COLLISION_SKIP_ACTORS=16;KF_COLLISION_SKIP_MAP_OBJECTS=32;KF_COLLISION_SKIP_MAP_EVENTS=64;KF_COLLISION_SKIP_PLAYER=128;KF_COLLISION_CAPTURE_TARGET=2048;KF_COLLISION_CELL_FLAG_SHIFT=8;KF_COLLISION_CELL_FLAG_MASK=240;KF_COLLISION_IGNORE_HEIGHT=65535;KF_COLLISION_PLAYER_RADIUS=800;KF_COLLISION_PLAYER_HEIGHT=1700	retain	include/kf/game_collision.h:KF_COLLISION_SKIP_TERRAIN		Collision query flags, skip policies and player dimensions are shared by query callers; result-kind codes are a different bitfield.
include/kf/game_collision.h:KF_COLLISION_NONE	KF_COLLISION_NONE=-1;KF_COLLISION_TERRAIN=65536;KF_COLLISION_BELOW_FLOOR=131056;KF_COLLISION_CEILING=131057;KF_COLLISION_MISSING_ATTRIBUTE=131058;KF_COLLISION_ACTOR=1048576;KF_COLLISION_MAP_OBJECT=2097152;KF_COLLISION_MAP_EVENT=4194304;KF_COLLISION_PLAYER=8388608	retain	include/kf/game_collision.h:KF_COLLISION_NONE		Collision outcomes use high kind bits plus detail payload; neither query flags nor map cell attribute IDs use that encoding.
include/kf/game_collision.h:KF_COLLISION_KIND_SHIFT	KF_COLLISION_KIND_SHIFT=16;KF_COLLISION_DETAIL_MASK=65535;KF_COLLISION_DETAIL_BELOW_FLOOR=65520;KF_COLLISION_DETAIL_CEILING=65521	retain	include/kf/game_collision.h:KF_COLLISION_KIND_SHIFT		Collision detail masks and below-floor/ceiling payloads belong to the collision result format, not save IDs or status-effect flags.
include/kf/game_collision.h:KF_MAP_CELL_HEIGHT_RECORD_COUNT	KF_MAP_CELL_HEIGHT_RECORD_COUNT=7	retain	include/kf/game_collision.h:KF_MAP_CELL_HEIGHT_RECORD_COUNT		The map-attribute height lookup bounds a separate table from the raw map-attribute enum and grid cells.
include/kf/game_effect.h:KF_EFFECT_PROJECTILE_DEFAULT_SPEED	KF_EFFECT_PROJECTILE_DEFAULT_SPEED=600;KF_EFFECT_LIGHTNING_SPEED=800;KF_EFFECT_WIND_CUTTER_SPEED=800;KF_EFFECT_ACTOR_TARGET_MAX_DISTANCE=20000;KF_EFFECT_ACTOR_TARGET_WIDE_CONE=1365	retain	include/kf/game_effect.h:KF_EFFECT_PROJECTILE_DEFAULT_SPEED		Projectile speeds and actor acquisition limits already share launch/update consumers; aim distance is distinct from an equal audible radius.
include/kf/game_effect.h:KF_EFFECT_CAPACITY	KF_EFFECT_CAPACITY=48	retain	include/kf/game_effect.h:KF_EFFECT_CAPACITY		Effect pool capacity counts live records, not animation duration or the asset registry extent.
