id	file	line	column	contexts	direction	provenance	source_type	target_type	verdict	finding	review	source_anchor
V14	src/game/menu_runtime.c	2368	27	GAME.EXE@0x8002af48:menu_load_item_texture	to-void	introduced	u8 *	void *	narrow-interface	TIM	Item-image byte cursor immediately becomes a TIM input; retain byte/TIM meaning at the helper boundary.	tim_upload_images((void *)destination);
V15	src/game/player_core.c	134	31	GAME.EXE@0x80016a30:player_equip_weapon	to-void	introduced	struct KfAssetHeader *	void *	retain-with-precondition	CD	Weapon allocation is a variable-length MIM asset headed by KfAssetHeader and consumed by the asset registry. Generic file I/O is appropriate; header size is not allocation capacity (0xc000 bytes).	if (cd_file_load_into((void *)player_state.weapon_asset_buffer, weapon_image_path_template) != KF_RESOURCE_LOADED) {
V16	src/game/player_core.c	231	40	GAME.EXE@0x80016e24:game_initialize_session	from-void	restored	void *	struct KfAssetHeader *	retain	ALLOC	Allocates 0xc000 bytes for a header plus serialized offset-addressed weapon payload; KfAssetHeader * describes its prefix, not an array of headers. No cast-induced owner/type mismatch found.	player_state.weapon_asset_buffer = (struct KfAssetHeader *)memory_allocate(KF_WEAPON_ASSET_BUFFER_BYTES);
V17	src/game/pool.c	108	35	GAME.EXE@0x800205d4:render_bind_animated_instance	from-void	restored	void *	SVECTOR *	retain	ALLOC	Allocation is vertex_count * sizeof(SVECTOR), published to the animation cache and consumed as SDK vectors; preserve SVECTOR and its genuine allocator boundary.	record->cached_vertices = (SVECTOR *)memory_malloc_checked(
V18	src/game/render.c	99	16	GAME.EXE@0x8001b7b0:display_show_system_screen	from-void	restored	void *	u_long *	narrow-owner	DISPLAY	asset_load_buffer is restored to CdRead's u_long * at system-screen loading. Producer is a u8 * primitive-arena base; a byte-buffer field would preserve that information.	(u_long *)game_graphics_runtime.display_state.asset_load_buffer, CdlModeSpeed);
V19	src/game/render.c	193	14	GAME.EXE@0x8001bce0:render_initialize	from-void	restored	void *	u8 *	retain	ALLOC	Allocates two contiguous primitive byte buffers and establishes start/end cursors. u8 * is appropriate byte-granular storage; GAME interval 0x19640, OPEN interval 0x26160.	buffer = (u8 *)memory_allocate(KF_DISPLAY_BUFFER_COUNT * PRIMITIVE_BUFFER_BYTES);
V20	src/game/render.c	194	61	GAME.EXE@0x8001bce0:render_initialize	to-void	introduced	u8 *	void *	narrow-owner	DISPLAY	First primitive-arena base is erased into the GAME display field. All known producers establish raw byte storage, not arbitrary typed object ownership; consider u8 *.	game_graphics_runtime.display_state.asset_load_buffer = (void *)buffer;
V21	src/game/resources.c	55	13	GAME.EXE@0x8001b100:tim_upload_images	from-void	restored	void *	u_long *	narrow-interface	TIM	GAME helper immediately passes the same pointer to OpenTIM(u_long *). Preserve the SDK cast boundary, but review an aligned serialized-input type for the helper.	OpenTIM((u_long *)tim_data);
V22	src/game/resources.c	76	23	GAME.EXE@0x8001b180:common_resources_load	to-void	introduced	u8 *	void *	narrow-interface	TIM	Common-resource image stream is allocated raw file storage, consumed only as TIM here; no heterogeneous object dispatch justifies this erasure.	tim_upload_images((void *)images);
V23	src/game/resources.c	122	16	GAME.EXE@0x8001b3e4:map_resource_copy_words	from-void	introduced	void *	u32 *	model-gap	GRID	Converts an arbitrary object destination to u32 * and dereferences it. Actual callers are 10000-byte byte/enum grids, not declared word arrays; void round trip proves neither effective type nor generic word alignment.	u32 *out = (u32 *)destination;
V24	src/game/resources.c	138	23	GAME.EXE@0x8001b414:map_variant_assets_load	to-void	introduced	u8 *	void *	retain-with-precondition	CD	Map variant MIM archive occupies raw allocation of 0x5a000 bytes and is subsequently split/registered. Keep byte-buffer loader boundary; sector-rounded capacity remains an external precondition.	cd_file_load_into((void *)*asset_buffer, map_resource_path);
V25	src/game/resources.c	178	23	GAME.EXE@0x8001b558:map_resources_load	to-void	introduced	u8 *	void *	narrow-interface	TIM	MIX TIM filename loader returns u8 * and immediately enters the TIM helper; parsing boundary is real, void helper is not required.	tim_upload_images((void *)map_resource_load_file(map_mix_tim_filename));
V26	src/game/resources.c	187	9	GAME.EXE@0x8001b558:map_resources_load	to-void	introduced	KfMapAttributeGrid *	void *	model-gap	GRID	Attribute grid, first 2500-word chunk: byte-enum owner/domain is consistent with consumers, but helper writes through u32 * (site 23).	(void *)&map_cell_attribute_grid,
V27	src/game/resources.c	191	9	GAME.EXE@0x8001b558:map_resources_load	to-void	introduced	KfMapGrid *	void *	model-gap	GRID	Floor-height grid, second chunk: unsigned-byte height owner is consistent; word-store aliasing/alignment contract is not expressed (site 23).	(void *)&map_floor_height_grid, source, MAP_GRID_WORDS);
V28	src/game/resources.c	193	9	GAME.EXE@0x8001b558:map_resources_load	to-void	introduced	KfMapOrientationGrid *	void *	model-gap	GRID	Orientation grid, third chunk: orientation domain is preserved by consumers; erased destination does not create a word member (site 23).	(void *)&map_cell_orientation_grid, source, MAP_GRID_WORDS);
V29	src/game/resources.c	195	9	GAME.EXE@0x8001b558:map_resources_load	to-void	introduced	KfMapGrid *	void *	model-gap	GRID	Collision-flag grid, fourth chunk: byte flags remain distinct from collision-kind data; erased destination hides word-store representation (site 23).	(void *)&map_collision_flag_grid, source, MAP_GRID_WORDS);
V30	src/game/resources.c	197	9	GAME.EXE@0x8001b558:map_resources_load	to-void	introduced	KfMapCollisionGrid *	void *	model-gap	GRID	Collision-kind grid, fifth chunk: typed kind values are not confused with flags; u32 stores still need an evidenced representation contract (site 23).	(void *)&map_collision_grid, source, MAP_GRID_WORDS);
V31	src/game/resources.c	224	36	GAME.EXE@0x8001b558:map_resources_load	from-void	restored	void *	u8 *	retain	ALLOC	MIM archive allocation is a 0x5a000-byte variable-length serialized region, later consumed via byte offsets. u8 * is more accurate than a single fixed-size asset object.	map_variant_asset_buffer = (u8 *)memory_allocate(MAP_VARIANT_ASSET_BUFFER_BYTES);
V32	src/game/save_system.c	438	31	GAME.EXE@0x8002b73c:save_file_write_slot	to-void	introduced	KfSavePayload *	const void *	retain	SAVE	Writes sizeof(KfSavePayload) from the workspace payload; const void * preserves read-only file-I/O access and the typed owner remains intact.	written = write(file, (const void *)save_payload_buffer, payload_size);
V33	src/game/save_system.c	467	31	GAME.EXE@0x8002b73c:save_file_write_slot	to-void	introduced	KfSaveHeader *	const void *	retain	SAVE	Writes sizeof(KfSaveHeader) from the workspace header; const void * preserves qualification at the generic write boundary.	written = write(file, (const void *)save_header_buffer, header_size);
V34	src/game/save_system.c	534	28	GAME.EXE@0x8002bd08:save_file_read_header	to-void	introduced	KfSaveHeader *	void *	retain	SAVE	Reads sizeof(KfSaveHeader) into the allocated header member; writable void * is the correct file-I/O boundary.	count = read(file, (void *)save_header_buffer, length);
V35	src/game/save_system.c	619	28	GAME.EXE@0x8002beb0:save_file_read_slot	to-void	introduced	KfSaveHeader *	void *	retain	SAVE	Reads sizeof(KfSaveHeader) into a complete local header for catalogue comparison; no oversized union or unrelated target type.	count = read(file, (void *)&header, header_size);
V36	src/game/save_system.c	642	28	GAME.EXE@0x8002beb0:save_file_read_slot	to-void	introduced	KfSavePayload *	void *	retain	SAVE	Reads sizeof(KfSavePayload) into the allocated payload after header validation; correct complete destination, not header/payload reinterpretation.	count = read(file, (void *)save_payload_buffer, payload_size);
V37	src/game/save_system.c	671	34	GAME.EXE@0x8002c27c:save_workspace_allocate	from-void	restored	void *	KfSaveWorkspace *	retain	ALLOC	Allocates sizeof(KfSaveWorkspace); header and payload pointers come from named members of the same allocation. Complete owner is supported; no need for a void-typed persistent workspace.	KfSaveWorkspace *workspace = (KfSaveWorkspace *)memory_allocate(sizeof(KfSaveWorkspace));
V38	src/game/save_system.c	700	23	GAME.EXE@0x8002c304:save_file_initialize_buffers	to-void	introduced	u8[2048]	void *	retain-with-precondition	CD	ICO1.TIM is 192 bytes and rounds to one 2048-byte sector, exactly fitting image[2048]; CLUT/frame copied by byte offsets. Retail stack alignment is adequate; u8[] alone does not promise word alignment.	cd_file_load_into((void *)image, "TIM\\ICO1.TIM");
V39	src/game/save_system.c	705	23	GAME.EXE@0x8002c304:save_file_initialize_buffers	to-void	introduced	u8[2048]	void *	retain-with-precondition	CD	ICO2.TIM is independently 192 bytes; one-sector read fits the same 2048-byte scratch array, then copies frame 1. Keep raw byte storage; SDK word alignment remains a precondition.	cd_file_load_into((void *)image, "TIM\\ICO2.TIM");
V40	src/game/save_system.c	708	23	GAME.EXE@0x8002c304:save_file_initialize_buffers	to-void	introduced	u8[2048]	void *	retain-with-precondition	CD	ICO3.TIM is independently 192 bytes; one-sector read fits the same 2048-byte scratch array, then copies frame 2. No justification for a persistent TIM object owner.	cd_file_load_into((void *)image, "TIM\\ICO3.TIM");
V41	src/game/save_system.c	780	31	GAME.EXE@0x8002c5e0:menu_load_message_image	to-void	introduced	u8 *	void *	retain-with-precondition	CD	Message TIM is loaded at the active primitive cursor and uploaded (site 42). Keep byte storage; available tail capacity and phase-specific arena reuse require a separate bounds contract.	if (cd_file_load_into((void *)buffer, path) != KF_RESOURCE_LOADED) {
V42	src/game/save_system.c	783	27	GAME.EXE@0x8002c5e0:menu_load_message_image	to-void	introduced	u8 *	void *	narrow-interface	TIM	Message-image byte cursor immediately becomes TIM input; no evidence for an unrelated object interpretation.	tim_upload_images((void *)buffer);
V43	src/open/audio.c	39	35	OPEN.EXE@0x80019ba4:audio_initialize	from-void	restored	void *	u_long *	retain	ALLOC	Sequence allocation is word-aligned storage consumed by SsSeqOpen(unsigned long *); retain the authentic SDK pointer, not an invented sequence struct. GAME budgets 0x3000; OPEN 0x4800.	audio_state.sequence_buffer = (u_long *)memory_allocate(OPEN_SEQUENCE_BUFFER_BYTES);
V44	src/open/audio.c	78	27	OPEN.EXE@0x80019d50:audio_play_sequence_file	to-void	introduced	u_long *	void *	retain-with-precondition	CD	Sequence storage passes through the heterogeneous file loader, then returns unchanged to SsSeqOpen. Correct SDK word type; sector-rounded file length must fit the fixed allocation.	if (cd_file_load_into((void *)audio_state.sequence_buffer, path) != KF_RESOURCE_LOADED) {
V45	src/open/main.c	23	14	OPEN.EXE@0x80013758:main	to-void	introduced	u8[]	void *	retain	HEAP	BSS_END is a linker boundary declared u8[], not a typed game object. InitHeap receives its raw base and the overlay-stack gap; original boundary-definition provenance remains open.	InitHeap((void *)BSS_END, OVERLAY_STACK_BOTTOM - (u32)BSS_END);
V46	src/open/opening_controller.c	54	27	OPEN.EXE@0x800156bc:opening_run	to-void	introduced	u8 *	void *	narrow-interface	TIM	Opening B0/MIX0 stream is newly allocated and uploaded before release; retain serialized TIM meaning.	tim_upload_images((void *)tim_data);
V47	src/open/opening_controller.c	70	35	OPEN.EXE@0x800156bc:opening_run	to-void	introduced	u8 *	void *	narrow-interface	TIM	Opening B0/MIX3 reload is newly allocated and uploaded before release; same typed interface opportunity as MIX0, independent call site.	tim_upload_images((void *)tim_data);
V48	src/open/render_init.c	60	23	OPEN.EXE@0x80016908:render_initialize	to-void	introduced	KfCellWindow[16]	void *	model-gap	RTBL	Logical KfCellWindow[16] is 0xcc0 bytes, as is shipped RTBL. cd_file_load_into rounds to 0x1000, exceeding the declared owner by 0x340; current retail addresses overlap the following collision-flag grid. Resolve physical storage/lifetime ownership before changing source.	cd_file_load_into((void *)render_cell_windows, "B0\\RTBL.");
V49	src/open/render_init.c	61	14	OPEN.EXE@0x80016908:render_initialize	from-void	restored	void *	u8 *	retain	ALLOC	Allocates two contiguous primitive byte buffers and establishes start/end cursors. u8 * is appropriate byte-granular storage; GAME interval 0x19640, OPEN interval 0x26160.	buffer = (u8 *)memory_allocate(KF_DISPLAY_BUFFER_COUNT * PRIMITIVE_BUFFER_BYTES);
V50	src/open/render_init.c	62	61	OPEN.EXE@0x80016908:render_initialize	to-void	introduced	u8 *	void *	narrow-owner	DISPLAY	First primitive-arena base is erased into the OPEN display field. Review alongside GAME's homolog; startup CD/TIM consumers still need explicit parsing/SDK boundaries.	open_graphics_runtime.display_state.asset_load_buffer = (void *)buffer;
V51	src/open/render_init.c	180	12	OPEN.EXE@0x80016cb4:primitive_buffer_allocate	to-void	introduced	u8 *	void *	retain-with-precondition	GPU	Byte bump allocator supplies heterogeneous GPU packet types; void * return is appropriate. All audited requests are multiples of four, but available capacity and phase/lifetime are caller obligations.	return (void *)allocation;
V52	src/open/render_map.c	56	20	OPEN.EXE@0x800185e8:render_enqueue_map	from-void	restored	void *	KfMapGpuPrimitive *	narrow-owner	GPU-UNION	GT4 request is 52 bytes and fits the 52-byte GT3/GT4 union, but the selected quad type is known in this branch. Prefer a branch-local KfGpuGT4 * alongside correcting site 53.	prim = (KfMapGpuPrimitive *)primitive_buffer_allocate(sizeof(POLY_GT4));
V53	src/open/render_map.c	94	20	OPEN.EXE@0x800185e8:render_enqueue_map	from-void	restored	void *	KfMapGpuPrimitive *	model-gap	GPU-UNION	GT3 request is 40 bytes while KfMapGpuPrimitive is 52; actual triangle member writes fit 40, but allocation is not a complete union owner. Use branch-local KfGpuGT3 *, not a 52-byte allocation that changes the retail cursor.	prim = (KfMapGpuPrimitive *)primitive_buffer_allocate(sizeof(POLY_GT3));
V54	src/open/render_sprite.c	35	12	OPEN.EXE@0x800189a0:render_enqueue_sprite	from-void	restored	void *	KfGpuFT4 *	retain-with-precondition	GPU	sprite FT4: KfGpuFT4 and POLY_FT4 both occupy 40 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuFT4 *)primitive_buffer_allocate(sizeof(POLY_FT4));
V55	src/open/render_tmd.c	52	20	OPEN.EXE@0x8001764c:render_enqueue_tmd	from-void	restored	void *	KfGpuFT3 *	retain-with-precondition	GPU	FT3: KfGpuFT3 and POLY_FT3 both occupy 32 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuFT3 *)primitive_buffer_allocate(sizeof(POLY_FT3));
V56	src/open/render_tmd.c	86	20	OPEN.EXE@0x8001764c:render_enqueue_tmd	from-void	restored	void *	KfGpuF4 *	retain-with-precondition	GPU	F4: KfGpuF4 and POLY_F4 both occupy 24 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuF4 *)primitive_buffer_allocate(sizeof(POLY_F4));
V57	src/open/render_tmd.c	114	20	OPEN.EXE@0x8001764c:render_enqueue_tmd	from-void	restored	void *	KfGpuG3 *	retain-with-precondition	GPU	G3: KfGpuG3 and POLY_G3 both occupy 28 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuG3 *)primitive_buffer_allocate(sizeof(POLY_G3));
V58	src/open/render_tmd.c	144	20	OPEN.EXE@0x8001764c:render_enqueue_tmd	from-void	restored	void *	KfGpuG4 *	retain-with-precondition	GPU	G4: KfGpuG4 and POLY_G4 both occupy 36 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuG4 *)primitive_buffer_allocate(sizeof(POLY_G4));
V59	src/open/render_tmd.c	176	20	OPEN.EXE@0x8001764c:render_enqueue_tmd	from-void	restored	void *	KfGpuGT3 *	retain-with-precondition	GPU	GT3: KfGpuGT3 and POLY_GT3 both occupy 40 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuGT3 *)primitive_buffer_allocate(sizeof(POLY_GT3));
V60	src/open/render_tmd.c	212	20	OPEN.EXE@0x8001764c:render_enqueue_tmd	from-void	restored	void *	KfGpuGT4 *	retain-with-precondition	GPU	GT4: KfGpuGT4 and POLY_GT4 both occupy 52 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuGT4 *)primitive_buffer_allocate(sizeof(POLY_GT4));
V61	src/open/render_tmd.c	251	20	OPEN.EXE@0x8001764c:render_enqueue_tmd	from-void	restored	void *	KfGpuG3 *	retain-with-precondition	GPU	G3 alternate mode: KfGpuG3 and POLY_G3 both occupy 28 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuG3 *)primitive_buffer_allocate(sizeof(POLY_G3));
V62	src/open/render_tmd.c	282	20	OPEN.EXE@0x8001764c:render_enqueue_tmd	from-void	restored	void *	KfGpuFT4 *	retain-with-precondition	GPU	FT4: KfGpuFT4 and POLY_FT4 both occupy 40 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuFT4 *)primitive_buffer_allocate(sizeof(POLY_FT4));
V63	src/open/render_tmd.c	317	20	OPEN.EXE@0x8001764c:render_enqueue_tmd	from-void	restored	void *	KfGpuF3 *	retain-with-precondition	GPU	F3: KfGpuF3 and POLY_F3 both occupy 20 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuF3 *)primitive_buffer_allocate(sizeof(POLY_F3));
V64	src/open/render_tmd.c	345	20	OPEN.EXE@0x8001764c:render_enqueue_tmd	from-void	restored	void *	KfGpuG4 *	retain-with-precondition	GPU	G4 alternate mode: KfGpuG4 and POLY_G4 both occupy 36 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuG4 *)primitive_buffer_allocate(sizeof(POLY_G4));
V65	src/open/render_tmd.c	379	20	OPEN.EXE@0x8001764c:render_enqueue_tmd	from-void	restored	void *	KfGpuF3 *	retain-with-precondition	GPU	F3 alternate mode: KfGpuF3 and POLY_F3 both occupy 20 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuF3 *)primitive_buffer_allocate(sizeof(POLY_F3));
V66	src/open/render_tmd.c	408	20	OPEN.EXE@0x8001764c:render_enqueue_tmd	from-void	restored	void *	KfGpuF4 *	retain-with-precondition	GPU	F4 alternate mode: KfGpuF4 and POLY_F4 both occupy 24 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuF4 *)primitive_buffer_allocate(sizeof(POLY_F4));
V67	src/open/render_unlit.c	43	20	OPEN.EXE@0x80018344:render_enqueue_unlit_triangles	from-void	restored	void *	KfGpuFT3 *	retain-with-precondition	GPU	unlit FT3: KfGpuFT3 and POLY_FT3 both occupy 32 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuFT3 *)primitive_buffer_allocate(sizeof(POLY_FT3));
V68	src/open/render_unlit.c	76	20	OPEN.EXE@0x80018344:render_enqueue_unlit_triangles	from-void	restored	void *	KfGpuF3 *	retain-with-precondition	GPU	unlit F3: KfGpuF3 and POLY_F3 both occupy 20 bytes with SDK-compatible alignment/offsets; branch constructor and writes select this packet. Allocation cast is legitimate; arena capacity/lifetime and existing packed/SDK alias views remain separate contracts.	prim = (KfGpuF3 *)primitive_buffer_allocate(sizeof(POLY_F3));
V69	src/open/resources.c	82	20	OPEN.EXE@0x80016014:cd_file_load_allocated	from-void	restored	void *	u8 *	retain	ALLOC	Path-based loader rounds the file length to 2048 before allocating that same size; u8 * is the raw serialized-file base, not a complete parsed asset.	*destination = (u8 *)memory_allocate(cd_search_file.size);
V70	src/open/resources.c	126	13	OPEN.EXE@0x8001615c:cd_file_load_into	from-void	restored	void *	u_long *	retain-with-precondition	CD	CdRead requires u_long *; this wrapper accepts heterogeneous writable storage. Preserve SDK prototype; void * does not certify alignment or sector-rounded capacity (site 48 fails the latter).	(u_long *)destination,
V71	src/open/resources.c	143	13	OPEN.EXE@0x80016298:tim_upload_images	from-void	restored	void *	u_long *	narrow-interface	TIM	OPEN helper immediately passes the same pointer to OpenTIM(u_long *); preserve authentic SDK signature while narrowing the game helper.	OpenTIM((u_long *)tim_data);
V72	src/open/resources.c	161	16	OPEN.EXE@0x80016318:resource_stream_copy_words	from-void	introduced	void *	u32 *	model-gap	GRID	Converts an arbitrary object destination to u32 * and dereferences it. Actual callers are 10000-byte byte/enum grids, not declared word arrays; void round trip proves neither effective type nor generic word alignment.	u32 *out = (u32 *)destination;
V73	src/open/resources.c	184	9	OPEN.EXE@0x80016348:opening_resources_load_scene0	to-void	introduced	KfMapAttributeGrid *	void *	model-gap	GRID	OPEN attribute grid, first 2500-word chunk: same typed attribute domain as GAME; byte owner versus word-store issue remains (site 72).	(void *)&map_cell_attribute_grid,
V74	src/open/resources.c	188	9	OPEN.EXE@0x80016348:opening_resources_load_scene0	to-void	introduced	KfMapGrid *	void *	model-gap	GRID	OPEN floor-height grid, second chunk: correct byte height destination/order; void round trip does not solve word-store aliasing (site 72).	(void *)&map_floor_height_grid, source, MAP_GRID_WORDS);
V75	src/open/resources.c	190	9	OPEN.EXE@0x80016348:opening_resources_load_scene0	to-void	introduced	KfMapOrientationGrid *	void *	model-gap	GRID	OPEN orientation grid, third chunk: correct orientation destination/order; declared type has no word member (site 72).	(void *)&map_cell_orientation_grid, source, MAP_GRID_WORDS);
V76	src/open/resources.c	192	9	OPEN.EXE@0x80016348:opening_resources_load_scene0	to-void	introduced	KfMapGrid *	void *	model-gap	GRID	OPEN collision-flag grid, fourth chunk: byte-flag owner matches resource order; review word-copy representation (site 72).	(void *)&map_collision_flag_grid, source, MAP_GRID_WORDS);
V77	src/open/resources.c	194	9	OPEN.EXE@0x80016348:opening_resources_load_scene0	to-void	introduced	KfMapCollisionGrid *	void *	model-gap	GRID	OPEN collision-kind grid, fifth chunk: distinct typed kind owner is retained; review word-copy representation, not the enum identity (site 72).	(void *)&map_collision_grid, source, MAP_GRID_WORDS);
V78	src/open/resources.c	243	23	OPEN.EXE@0x800165c4:opening_resources_load_scene3	to-void	introduced	u8 *	void *	narrow-interface	TIM	Scene 3 TIM stream is uploaded before the resource cursor is used for scene assets; narrow helper, not the heterogeneous allocator.	tim_upload_images((void *)tim_stream);
V79	src/open/resources.c	269	23	OPEN.EXE@0x800166b4:opening_resources_load_ending	to-void	introduced	u8 *	void *	narrow-interface	TIM	Ending TIM stream is uploaded before subsequent asset loading; narrow helper while preserving serialized stream alignment and lifetime.	tim_upload_images((void *)tim_stream);
