id	file	line	function	arg_index	definition	expansion_occurrence	domains	images	modes	before_line	before_function	before_name	final_name	decision	semantic_reason	reviewer
P00126	include/kf/game_actor.h	368	actor_pool_load_placements	0	0	0	KfActorPlacement	GAME.EXE|OPEN.EXE	modern|retail	368	actor_pool_load_placements	placements	placements	retain	Walks the serialized actor-placement stream and expands records into runtime actors.	root
P00128	include/kf/game_actor.h	370	actor_pool_spawn	1	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern|retail	370	actor_pool_spawn	position	position	retain	Input world position assigned to the newly allocated actor.	root
P00129	include/kf/game_actor.h	371	actor_pool_spawn	2	0	0	KfVec3s	GAME.EXE|OPEN.EXE	modern|retail	371	actor_pool_spawn	rotation	rotation	retain	Three signed components are used as the spawned actor's Euler rotation despite the general KfVec3s storage type.	root
P00130	include/kf/game_actor.h	374	actor_distance_to_point	0	0	0	KfActor	GAME.EXE|OPEN.EXE	modern|retail	374	actor_distance_to_point	actor	actor	retain	The actor supplies one collision-volume endpoint for the point-distance test.	root
P00138	include/kf/game_actor.h	378	actor_set_action	0	0	0	KfActor	GAME.EXE|OPEN.EXE	modern|retail	378	actor_set_action	actor	actor	retain	Target actor whose action and action-progress fields are updated.	root
P00139	include/kf/game_actor.h	378	actor_set_action	1	0	0	KfActorAction	GAME.EXE|OPEN.EXE	modern|retail	378	actor_set_action	action	action	retain	New action assigned directly to actor->action before initializing its progress.	root
P00140	include/kf/game_actor.h	379	actor_set_player_transform	0	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern|retail	379	actor_set_player_transform	position	position_or_null	rename	NULL preserves the cached player position; match the optional-transform naming used by audio and rendering APIs.	root
P00141	include/kf/game_actor.h	379	actor_set_player_transform	1	0	0	SVECTOR	GAME.EXE|OPEN.EXE	modern|retail	379	actor_set_player_transform	rotation	rotation_or_null	rename	NULL independently preserves cached player rotation; distinguish from required spawn rotation.	root
P00142	include/kf/game_actor.h	381	actor_try_select_action_distance_facing	0	0	0	KfActorAction	GAME.EXE|OPEN.EXE	modern|retail	381	actor_try_select_action_distance_facing	action	action	retain	Candidate action returned only after distance, probability and facing checks.	root
P00146	include/kf/game_actor.h	383	actor_try_select_facing_action	0	0	0	KfActorAction	GAME.EXE|OPEN.EXE	modern|retail	383	actor_try_select_facing_action	action	action	retain	Candidate action tested against the current action and returned on the facing/probability path.	root
P00149	include/kf/game_actor.h	385	actor_try_select_ground_action	0	0	0	KfActorAction	GAME.EXE|OPEN.EXE	modern|retail	385	actor_try_select_ground_action	action	action	retain	Candidate action accepted only after grounded state and selection checks.	root
P00152	include/kf/game_actor.h	387	actor_try_select_profiled_action	0	0	0	KfActorAction	GAME.EXE|OPEN.EXE	modern|retail	387	actor_try_select_profiled_action	action	action	retain	Candidate action selected using the effect profile's distance weights.	root
P00154	include/kf/game_actor.h	387	actor_try_select_profiled_action	2	0	0	KfActorEffectCode	GAME.EXE|OPEN.EXE	modern|retail	387	actor_try_select_profiled_action	profile_index	effect_code	rename	The input still contains packed actor-effect bits and is masked before indexing actor_action_profiles; profile_index incorrectly suggests an already decoded index.	root
P00160	include/kf/game_actor.h	393	actor_update_effect_action	0	0	0	KfActorEffectSlot	GAME.EXE|OPEN.EXE	modern|retail	393	actor_update_effect_action	effect_slot	effect_slot	retain	Chooses the current definition's animation/effect parameter slot.	root
P00161	include/kf/game_actor.h	394	actor_transform_definition5_to6	0	0	0	KfActor	GAME.EXE|OPEN.EXE	modern|retail	394	actor_transform_definition5_to6	actor	actor	retain	Actor whose definition and visual transform are transitioned from definition 5 to 6.	root
P00166	include/kf/game_asset.h	31	asset_registry_set	1	0	0	KfAssetHeader	GAME.EXE|OPEN.EXE	modern|retail	31	asset_registry_set	asset	asset	retain	Asset header pointer stored in the selected asset-registry entry.	root
P00178	include/kf/game_collision.h	75	map_floor_height_at_position	0	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern|retail	75	map_floor_height_at_position	position	position	retain	World-space input position selects the floor-height query location.	root
P00182	include/kf/game_effect.h	56	operator++	0	1	0	KfEffectBillboardId	GAME.EXE|OPEN.EXE	modern	56	operator++	value	value	retain	Mutable effect billboard-frame selector advanced during animation; prefix/postfix update the same operand, with postfix returning its previous value.	root
P00183	include/kf/game_effect.h	56	operator++	0	1	0	KfEffectBillboardId	GAME.EXE|OPEN.EXE	modern	56	operator++	value	value	retain	Mutable effect billboard-frame selector advanced during animation; prefix/postfix update the same operand, with postfix returning its previous value.	root
P00185	include/kf/game_effect.h	56	operator--	0	1	0	KfEffectBillboardId	GAME.EXE|OPEN.EXE	modern	56	operator--	value	value	retain	Mutable effect billboard-frame selector advanced during animation; prefix/postfix update the same operand, with postfix returning its previous value.	root
P00186	include/kf/game_effect.h	56	operator--	0	1	0	KfEffectBillboardId	GAME.EXE|OPEN.EXE	modern	56	operator--	value	value	retain	Mutable effect billboard-frame selector advanced during animation; prefix/postfix update the same operand, with postfix returning its previous value.	root
P00188	include/kf/game_effect.h	99	operator&	0	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator&	lhs	lhs	retain	Left operand of intersection for effect target, damage-source and lifecycle flags; lhs/rhs describe operator position, not a game-object role.	root
P00189	include/kf/game_effect.h	99	operator&	1	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator&	rhs	rhs	retain	Right input operand of intersection for effect target, damage-source and lifecycle flags; lhs/rhs describe operator position, not a game-object role.	root
P00190	include/kf/game_effect.h	99	operator&=	0	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator&=	lhs	lhs	retain	Left operand and mutable destination of intersection assignment for effect target, damage-source and lifecycle flags; lhs/rhs describe operator position, not a game-object role.	root
P00191	include/kf/game_effect.h	99	operator&=	1	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator&=	rhs	rhs	retain	Right input operand of intersection assignment for effect target, damage-source and lifecycle flags; lhs/rhs describe operator position, not a game-object role.	root
P00192	include/kf/game_effect.h	99	operator^	0	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator^	lhs	lhs	retain	Left operand of exclusive-or for effect target, damage-source and lifecycle flags; lhs/rhs describe operator position, not a game-object role.	root
P00193	include/kf/game_effect.h	99	operator^	1	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator^	rhs	rhs	retain	Right input operand of exclusive-or for effect target, damage-source and lifecycle flags; lhs/rhs describe operator position, not a game-object role.	root
P00194	include/kf/game_effect.h	99	operator^=	0	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator^=	lhs	lhs	retain	Left operand and mutable destination of exclusive-or assignment for effect target, damage-source and lifecycle flags; lhs/rhs describe operator position, not a game-object role.	root
P00195	include/kf/game_effect.h	99	operator^=	1	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator^=	rhs	rhs	retain	Right input operand of exclusive-or assignment for effect target, damage-source and lifecycle flags; lhs/rhs describe operator position, not a game-object role.	root
P00196	include/kf/game_effect.h	99	operator|	0	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator|	lhs	lhs	retain	Left operand of union for effect target, damage-source and lifecycle flags; lhs/rhs describe operator position, not a game-object role.	root
P00197	include/kf/game_effect.h	99	operator|	1	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator|	rhs	rhs	retain	Right input operand of union for effect target, damage-source and lifecycle flags; lhs/rhs describe operator position, not a game-object role.	root
P00198	include/kf/game_effect.h	99	operator|=	0	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator|=	lhs	lhs	retain	Left operand and mutable destination of union assignment for effect target, damage-source and lifecycle flags; lhs/rhs describe operator position, not a game-object role.	root
P00199	include/kf/game_effect.h	99	operator|=	1	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator|=	rhs	rhs	retain	Right input operand of union assignment for effect target, damage-source and lifecycle flags; lhs/rhs describe operator position, not a game-object role.	root
P00200	include/kf/game_effect.h	99	operator~	0	1	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	99	operator~	value	value	retain	Unary operand whose effect target, damage-source and lifecycle flags are complemented in the opted-in storage width.	root
P00201	include/kf/game_effect.h	171	operator++	0	1	0	KfEffectPhase	GAME.EXE|OPEN.EXE	modern	171	operator++	value	value	retain	Mutable effect lifecycle phase counter; prefix/postfix update the same operand, with postfix returning its previous value.	root
P00202	include/kf/game_effect.h	171	operator++	0	1	0	KfEffectPhase	GAME.EXE|OPEN.EXE	modern	171	operator++	value	value	retain	Mutable effect lifecycle phase counter; prefix/postfix update the same operand, with postfix returning its previous value.	root
P00204	include/kf/game_effect.h	171	operator--	0	1	0	KfEffectPhase	GAME.EXE|OPEN.EXE	modern	171	operator--	value	value	retain	Mutable effect lifecycle phase counter; prefix/postfix update the same operand, with postfix returning its previous value.	root
P00205	include/kf/game_effect.h	171	operator--	0	1	0	KfEffectPhase	GAME.EXE|OPEN.EXE	modern	171	operator--	value	value	retain	Mutable effect lifecycle phase counter; prefix/postfix update the same operand, with postfix returning its previous value.	root
P00209	include/kf/game_effect.h	364	effect_pool_construct	1	0	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	364	effect_pool_construct	type	type	retain	The constructor copies the combined target/class/free-state flags directly into record->type; all typed overloads agree.	root
P00210	include/kf/game_effect.h	364	effect_pool_construct	2	0	0	KfEffectKind	GAME.EXE|OPEN.EXE	modern	364	effect_pool_construct	kind	kind	retain	Behavioral effect identity is copied into record->kind and selects construction dispatch; distinct from type flags.	root
P00211	include/kf/game_effect.h	364	effect_pool_construct	3	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern	364	effect_pool_construct	position	position	retain	Required initial world position copied into every constructed effect record.	root
P00212	include/kf/game_effect.h	365	effect_pool_construct	4	0	0	SVECTOR	GAME.EXE|OPEN.EXE	modern	365	effect_pool_construct	direction	direction	retain	Required direction storage copied into the effect record; concrete use depends on the selected kind, so do not rename universally to velocity or rotation.	root
P00214	include/kf/game_effect.h	367	effect_pool_construct	1	0	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	367	effect_pool_construct	type	type	retain	The constructor copies the combined target/class/free-state flags directly into record->type; all typed overloads agree.	root
P00215	include/kf/game_effect.h	367	effect_pool_construct	2	0	0	KfEffectKind	GAME.EXE|OPEN.EXE	modern	367	effect_pool_construct	kind	kind	retain	Behavioral effect identity is copied into record->kind and selects construction dispatch; distinct from type flags.	root
P00216	include/kf/game_effect.h	367	effect_pool_construct	3	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern	367	effect_pool_construct	position	position	retain	Required initial world position copied into every constructed effect record.	root
P00217	include/kf/game_effect.h	368	effect_pool_construct	4	0	0	SVECTOR	GAME.EXE|OPEN.EXE	modern	368	effect_pool_construct	direction	direction	retain	Required direction storage copied into the effect record; concrete use depends on the selected kind, so do not rename universally to velocity or rotation.	root
P00218	include/kf/game_effect.h	368	effect_pool_construct	5	0	0	KfEffectBranchArguments	GAME.EXE|OPEN.EXE	modern	368	effect_pool_construct	arguments	arguments	retain	Modern-only bundle validates the branch-role variadic argument; the common overload slot carries kind-specific extra arguments.	root
P00220	include/kf/game_effect.h	370	effect_pool_construct	1	0	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	370	effect_pool_construct	type	type	retain	The constructor copies the combined target/class/free-state flags directly into record->type; all typed overloads agree.	root
P00221	include/kf/game_effect.h	370	effect_pool_construct	2	0	0	KfEffectKind	GAME.EXE|OPEN.EXE	modern	370	effect_pool_construct	kind	kind	retain	Behavioral effect identity is copied into record->kind and selects construction dispatch; distinct from type flags.	root
P00222	include/kf/game_effect.h	370	effect_pool_construct	3	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern	370	effect_pool_construct	position	position	retain	Required initial world position copied into every constructed effect record.	root
P00223	include/kf/game_effect.h	371	effect_pool_construct	4	0	0	SVECTOR	GAME.EXE|OPEN.EXE	modern	371	effect_pool_construct	direction	direction	retain	Required direction storage copied into the effect record; concrete use depends on the selected kind, so do not rename universally to velocity or rotation.	root
P00224	include/kf/game_effect.h	371	effect_pool_construct	5	0	0	KfEffectRotationArguments	GAME.EXE|OPEN.EXE	modern	371	effect_pool_construct	arguments	arguments	retain	Modern-only bundle validates a rotation pointer in the kind-specific variadic tail.	root
P00226	include/kf/game_effect.h	373	effect_pool_construct	1	0	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	373	effect_pool_construct	type	type	retain	The constructor copies the combined target/class/free-state flags directly into record->type; all typed overloads agree.	root
P00227	include/kf/game_effect.h	373	effect_pool_construct	2	0	0	KfEffectKind	GAME.EXE|OPEN.EXE	modern	373	effect_pool_construct	kind	kind	retain	Behavioral effect identity is copied into record->kind and selects construction dispatch; distinct from type flags.	root
P00228	include/kf/game_effect.h	373	effect_pool_construct	3	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern	373	effect_pool_construct	position	position	retain	Required initial world position copied into every constructed effect record.	root
P00229	include/kf/game_effect.h	374	effect_pool_construct	4	0	0	SVECTOR	GAME.EXE|OPEN.EXE	modern	374	effect_pool_construct	direction	direction	retain	Required direction storage copied into the effect record; concrete use depends on the selected kind, so do not rename universally to velocity or rotation.	root
P00230	include/kf/game_effect.h	374	effect_pool_construct	5	0	0	KfEffectRotationSoundArguments	GAME.EXE|OPEN.EXE	modern	374	effect_pool_construct	arguments	arguments	retain	Modern-only bundle validates rotation and sound arguments in their retail order.	root
P00232	include/kf/game_effect.h	376	effect_pool_construct	1	0	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	376	effect_pool_construct	type	type	retain	The constructor copies the combined target/class/free-state flags directly into record->type; all typed overloads agree.	root
P00233	include/kf/game_effect.h	376	effect_pool_construct	2	0	0	KfEffectKind	GAME.EXE|OPEN.EXE	modern	376	effect_pool_construct	kind	kind	retain	Behavioral effect identity is copied into record->kind and selects construction dispatch; distinct from type flags.	root
P00234	include/kf/game_effect.h	376	effect_pool_construct	3	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern	376	effect_pool_construct	position	position	retain	Required initial world position copied into every constructed effect record.	root
P00235	include/kf/game_effect.h	377	effect_pool_construct	4	0	0	SVECTOR	GAME.EXE|OPEN.EXE	modern	377	effect_pool_construct	direction	direction	retain	Required direction storage copied into the effect record; concrete use depends on the selected kind, so do not rename universally to velocity or rotation.	root
P00236	include/kf/game_effect.h	377	effect_pool_construct	5	0	0	KfEffectDurationSoundArguments	GAME.EXE|OPEN.EXE	modern	377	effect_pool_construct	arguments	arguments	retain	Modern-only bundle validates duration and sound request without changing the retail variadic slots.	root
P00238	include/kf/game_effect.h	379	effect_pool_construct	1	0	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	379	effect_pool_construct	type	type	retain	The constructor copies the combined target/class/free-state flags directly into record->type; all typed overloads agree.	root
P00239	include/kf/game_effect.h	379	effect_pool_construct	2	0	0	KfEffectKind	GAME.EXE|OPEN.EXE	modern	379	effect_pool_construct	kind	kind	retain	Behavioral effect identity is copied into record->kind and selects construction dispatch; distinct from type flags.	root
P00240	include/kf/game_effect.h	379	effect_pool_construct	3	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern	379	effect_pool_construct	position	position	retain	Required initial world position copied into every constructed effect record.	root
P00241	include/kf/game_effect.h	380	effect_pool_construct	4	0	0	SVECTOR	GAME.EXE|OPEN.EXE	modern	380	effect_pool_construct	direction	direction	retain	Required direction storage copied into the effect record; concrete use depends on the selected kind, so do not rename universally to velocity or rotation.	root
P00242	include/kf/game_effect.h	380	effect_pool_construct	5	0	0	KfEffectScatterArguments	GAME.EXE|OPEN.EXE	modern	380	effect_pool_construct	arguments	arguments	retain	Modern-only bundle validates scatter generations, duration and scale, preserving the common extra-argument role.	root
P00244	include/kf/game_effect.h	382	effect_pool_construct	1	0	0	KfEffectType	GAME.EXE|OPEN.EXE	modern	382	effect_pool_construct	type	type	retain	The constructor copies the combined target/class/free-state flags directly into record->type; all typed overloads agree.	root
P00245	include/kf/game_effect.h	382	effect_pool_construct	2	0	0	KfEffectKind	GAME.EXE|OPEN.EXE	modern	382	effect_pool_construct	kind	kind	retain	Behavioral effect identity is copied into record->kind and selects construction dispatch; distinct from type flags.	root
P00246	include/kf/game_effect.h	382	effect_pool_construct	3	0	0	VECTOR	GAME.EXE|OPEN.EXE	modern	382	effect_pool_construct	position	position	retain	Required initial world position copied into every constructed effect record.	root
P00247	include/kf/game_effect.h	383	effect_pool_construct	4	0	0	SVECTOR	GAME.EXE|OPEN.EXE	modern	383	effect_pool_construct	direction	direction	retain	Required direction storage copied into the effect record; concrete use depends on the selected kind, so do not rename universally to velocity or rotation.	root
P00248	include/kf/game_effect.h	383	effect_pool_construct	5	0	0	KfEffectSoundArguments	GAME.EXE|OPEN.EXE	modern	383	effect_pool_construct	arguments	arguments	retain	Modern-only bundle validates the effect sound request in the variadic tail.	root
