candidate	verdict	proposed_scope	proposed_form	source_count	decision
distance3	retained	shared header	static inline	7	fixed_vector3_length in kf/game_math.h preserves signed pre-square shifts and X/Y/Z sum order. Five complete caller objects are baseline-byte-identical; camera/audio functions remain strict 100% and the preexisting projectile residue is unchanged.
effect-physical-hit	keep	current owners	existing source	2	Physical component argument order and hit routing differ by effect. Do not hide these with a large damage-call macro.
effect-radial-hit	keep	current owners	existing source	1	Repeated radial call groups remain effect-specific in one dispatch function; shared attenuation belongs in the radial-falloff candidate only.
effect-render-pair	keep	current owners	existing source	2	Acquisition/failure cleanup and draw/update roles differ; preserve explicit pair construction and existing pool APIs.
equipment-period	keep	current owners	existing source	1	Accessory periodic effects in player_update have different gates/counters; one-off dispatch is clearer than a parameterized timer macro.
equipped-item	retained	shared header	macro	2	PLAYER_ITEM_IS_EQUIPPED in kf/game_player.h shares the ordered seven-slot inventory-index predicate. Sell/drop remain strict 100% and both complete objects baseline-byte-identical. Inline trial lost the common player-state base and materialized a boolean, scoring 95.328125%/95.06601%; macro restores the original branch chain.
existing-sdk	keep	current owners	existing source	15	Authentic SDK vector, GPU, GTE and audio APIs already provide helpers; retain them and do not add handwritten instruction or packet substitutes.
fade-color	retained	shared header	macro	3	TRANSITION_COLOR_STEP in kf/render_types.h preserves r update then b/g publication in GAME/OPEN transitions. Both complete objects baseline-byte-identical and strict 100%. Inline retained a color pointer across OPEN loop calls, enlarged the frame and duplicated a load (90.349205%); macro is exact. Ending-scroll fade uses a different threshold/step/gate and stays explicit.
fixed-lerp	keep	current owners	existing source	5	RGB555, CVECTOR, matrix, fog, HUD and deformation expressions differ in signed widths, operand order, STP and aliasing. Retain typed existing lerp functions rather than a generic multiply/shift macro.
fixed-scale	keep	current owners	existing source	2	Array and SVECTOR interfaces and Q11/Q12 shifts differ. Keep named typed functions; do not cast incompatible views to manufacture sharing.
floor-item-frame	retained	shared header	static inline	2	floor_item_advance_frame in kf/item.h preserves byte increment/store then wrapped comparison to masked frame count. Both complete GAME/OPEN entity objects baseline-byte-identical and all functions strict 100%.
frame-begin	keep	current owners	existing source	3	Display-state objects/global contexts and initialization order differ. Existing display/menu begin APIs already name the operation.
frame-present	keep	current owners	existing source	4	Wait order, adjustment loops and environment ownership differ; retain existing named presentation APIs.
frame-render	keep	current owners	existing source	2	OPEN frame wrappers deliberately select different entity/item/camera work; existing lower-level render helpers are sufficient.
input-edge	retained	shared header	macro	6	PAD_PRESSED in kf/input.h replaces 74 single-button edge tests across six TUs. Every complete object is byte-identical to the pre-extraction baseline; previous-input reads remain short-circuited. Existing nonexact functions are unchanged.
input-release	keep	current owners	existing source	7	The empty PadRead loop is already direct. A macro would hide a blocking poll; preserve release timing at the visible control-flow boundary.
interaction-probe	retained	shared header	macro	3	VECTOR_YAW_PROBE_XZ in kf/game_math.h shares four probes in three TUs with caller reach and height policy. Complete objects baseline-byte-identical, all functions strict 100%. Inline changed constant multiplication into mult and caller frames (magic 92.79605%, map 91.343155%, item 87.258064%); block macro retained arithmetic but changed register/address reuse. Sequenced expression macro is exact.
item-pickup-result	keep	current owners	existing source	1	Pickup result handling repeats locally but differs across door/container/item behaviors; retain explicit results and ownership updates.
launch-transform	keep	current owners	existing source	1	Magic launch transform has spell-specific camera/yaw/speed/height policy; existing vector/angle APIs already factor the math.
magic-learn	keep	current owners	existing source	2	Learning/reset/publication paths have different sound/notify/progression policy. Simple field writes do not justify a global mutation macro.
map-cell-bounds	keep	current owners	existing source	1	The existing effect_map_collision wrapper already names signed bounds checking and local collision. No need for a general bounds macro.
map-cell-passable	retained	shared header	macro	1	MAP_CELL_HAS_FLOOR in kf/map_data.h names the full FLOOR-or-STEP shapes. Both complete collision objects remain baseline-byte-identical; collision_query_world stays strict 100% and the existing effect_map_collision residue is unchanged. Coordinate validation and diagonal/neighbor tests remain callers.
map-cell-transform	keep	current owners	existing source	2	Cell render transforms differ by mesh/texture/height policy; SDK transform calls already expose the common steps.
map-coordinate	keep	current owners	existing source	10	World-to-cell division uses a named tile-size constant and caller-specific signed narrowing. Keep arithmetic visible; never replace signed division with a shift.
map-floor-predicate	retained	shared header	macro	1	MAP_CELL_HAS_FLOOR in kf/map_data.h names the full FLOOR-or-STEP shapes. Both complete collision objects remain baseline-byte-identical; collision_query_world stays strict 100% and the existing effect_map_collision residue is unchanged. Coordinate validation and diagonal/neighbor tests remain callers.
map-grid-copy	keep	current owners	existing source	2	Five-grid order agrees but copy APIs have different signed boundaries and source-return forms. RESOURCE_STREAM_NEXT already removes the established macro duplicate; retain typed copy calls.
map-placement	keep	current owners	existing source	8	Actor, event, object and item placements share coordinates but differ in state, occupancy, asset and RNG handling. Keep entity-specific loaders; consider only placement-position math.
menu-background	retained	shared header and current TU	macro	3	Local MENU_DRAW_BACKDROP_TILE shares eight reflected tiles in pickup/window frames, while MENU_ENQUEUE_BACKGROUND in game_menu.h shares four reverse 3/2/1/0 queues including map viewer. Functions remain strict 100% with identical bytes. Tile inline lost shared menu-asset bases and changed frames (pickup 96.732796%, window 96.53412%); expression macro is exact. Existing status tile helper keeps its distinct byte-width UV form.
menu-glyph	retained	current TU	static inline	1	Local menu_begin_text_glyph shares the three packet/page/CLUT/rectangle setup blocks in menu_draw_string. Base glyph lookup remains after rectangle publication; UV/commit and base/dakuten/handakuten order remain explicit. Function stays strict 100% with identical bytes.
menu-list-step	retained	shared header	static inline	5	menu_list_previous/menu_list_next in kf/game_menu.h replace fourteen direction blocks across seven panels in five TUs. All five complete objects are baseline-byte-identical; each affected panel remains strict 100%. Empty-list handling, sounds and model/texture loads remain callers.
menu-preview	retained	current TU	static inline	1	Local menu_preview_light_source shares the nine matrix coefficients in three preview callers; original rotation/scratch ownership and publication stay callers. Each function has identical baseline bytes (including existing menu_draw_item_detail 97.80875%). Whole rotating-model inline changed matrix/global address lifetimes (preview 91.854546%, detail 92.803276%, pickup frame 98.651825%); the smaller initializer preserves all bytes.
menu-status-glyphs	retained	current TU	macro	1	Local MENU_DRAW_VITAL_FRACTION shares six current/slash/maximum draws across stats/details/save summaries, preserving live u16 versus saved s32 reads and caller coordinates. All three functions strict 100% with identical baseline bytes. Block form changed constant/register lifetimes; expression form is exact. Class-offset inline swapped a0/v1 (header 99.75%, details 99.8893%); status-icon inline changed address/register use (98.797226%/99.46741% with class restored). Both nonexact sub-extractions restored to explicit source.
menu-tile	retained	current TU	macro	1	Local MENU_DRAW_LIST_TILE shares three translucent list tile emissions through the original SDK geometry and packet APIs. Function strict 100% with identical baseline bytes. Inline snapshot coordinates and an extra saved register yielded 79.215034%; block macro swapped caller registers (97.73069%). SDK comma-expression composition preserves the original scope and exact bytes.
model-view-transform	keep	current owners	existing source	4	Billboard, animated/model, camera-relative and light-matrix choices differ. Existing matrix helpers are the appropriate shared layer.
motion-approach	keep	current owners	existing source	1	Player acceleration/deceleration and pitch/yaw clamps have different limits and update order; no general approach helper is established.
overlay-load	retained	current TU	macro	1	Local OVERLAY_LAUNCH in PSX main.c shares the ordered driver-init/load/remove/stack-clear/critical-section/Exec operation. Complete object baseline-byte-identical, main strict 100%. Inline kept the EXEC pointer in place of the path-table base (88.84615%); caller-lvalue macro restores exact bytes. Request/result exchange remains main.
panel-visibility	keep	current owners	existing source	1	OPEN scene panel lifetime/visibility conditions differ; one store or threshold test gains little from a macro.
placement-position	retained	shared header	static inline	7	map_placement_axis_position(u8 tile, s16 local) in kf/map_data.h names the proven tile-plus-local conversion across seven GAME/OPEN TUs, including further actor and opening-entity consumers. All seven complete objects are baseline-byte-identical; existing item database residue unchanged. Y policy and entity lifecycle remain callers.
player-floor-position	retained	shared header	macro	2	PLAYER_FLOOR_POSITION in kf/game_player.h names three X/Z/floor-Y snapshots. Both complete objects are baseline-byte-identical; the full project retains warp-entry 99.87654% and movement 96.56896% residues, while change-floor remains strict 100%. The isolated warp-entry trial reports 100% but is not a banking verdict. Inline and block macro altered player-state address reuse/saved registers (warp entry 95.34568%/95.30864%; change-floor 87.75862%/95.05747%). Sequenced expression macro preserves original caller scope.
primitive-allocation	keep	current owners	existing source	8	GAME overflow advances cursor before returning; other paths guard capacity differently or use existing allocators. A universal reserve macro would hide failure and cursor policy.
primitive-index-shifts	keep	current owners	existing source	2	Typed parser dispatch is already explicit; prior inline experiments are documented separately. Keep per-mode width/offset shifts after the shared format macros.
radial-falloff	retained	shared header	static inline	2	radial_damage_attenuated_scale shares the u16 ratio/weight and u32 Q12 products; full-falloff bypass remains callers. Both complete objects are baseline-byte-identical, all functions strict 100%. Whole-operation inline trial inserted an extra andi on the bypass (actor 99.52381%; wide-result control also player 99.210526%); narrowing the shared operation restores exact bytes.
random-clamped-step	keep	current owners	existing source	1	Signed narrow state, axis-dependent collision probes and RNG call ordering differ. A generic random-step helper could obscure meaningful sequencing.
resource-stream-next	retained	shared header	macro	2	RESOURCE_STREAM_NEXT: assign the next length-prefixed chunk to a simple aligned byte-pointer lvalue; preserves existing argument expressions.
restore-vitals	keep	current owners	existing source	2	Two assignments are followed by distinct death/recovery transitions; simple max-to-current writes are clear.
save-io	rejected-trial	current TU	existing source	1	Rejected inline read/write retry trial: write-slot 93.69085%, read-header 88.818184%, read-slot 86.666664% (last also included summary trial). First header-reader divergence saves another register and snapshots save_header_buffer before event clearing instead of reloading at each read. Preserve caller-owned loops, buffer reevaluation, counters and close/error policy; a six-argument mutation macro exposing result and counter would not improve this interface. Original five retry loops restored.
save-summary	retained	current TU	macro	1	Local SAVE_SUMMARY_COPY/SAVE_SUMMARY_EQUAL name the six-field summary contract and ignore padding. Entire save object baseline-byte-identical and all functions strict 100%. Inline changed directory induction/addressing (catalog 91.18519%) and summary comparison; direct record-expression macros restore exact bytes. Player-to-summary snapshot retains its distinct nested source layout.
scene-brightness	keep	current owners	existing source	1	Scene fade/termination timing differs; only the exact transition RGB step is recommended separately.
shimmer-step	keep	current owners	existing source	1	Alternating Q12 shimmer is a local effect with phase policy, not a general cross-TU fade operation.
sprite-rectangle	keep	current owners	existing source	1	Existing setXYWH/setUVWH SDK macros already name the rectangle operation.
system-screen	keep	current owners	existing source	1	System-screen packet setup already uses named geometry constants and SDK helpers; input, buffer and brightness behavior differs across screens.
table-word-copy	keep	current owners	existing source	4	Signed loop counters agree in several loaders but magic uses a pretest and others a do/while. Keep zero-count behavior and typed owners explicit; existing word-copy APIs already cover streams.
tmd-depth	keep	current owners	existing source	4	Triangle/quad averaging and lower/upper OT bounds vary across enqueue modes. Keep formulas and guards visible at dispatch sites.
tmd-format	retained	shared header	macro	2	TMD_OBJECTS and TMD_PACKET_BODY: typed header/table and packet/body boundaries; do not hide mode dispatch.
tmd-packet-walk	retained	shared header	macro	4	TMD_PACKET_BODY_BYTES and TMD_PREPARED_VERTEX share the encoded packet length and typed prepared-vertex lookup across four rendering TUs. Split header/body traversal is preserved. All four complete rebuilt objects are baseline-byte-identical and every function remains strict 100%.
tmd-project-object	keep	current owners	existing source	2	Small wrappers already select/project/enqueue with distinct lighting and object policy. A second wrapper provides little added meaning.
tmd-vertex-access	retained	shared header	macro	4	TMD_PACKET_BODY_BYTES and TMD_PREPARED_VERTEX share the encoded packet length and typed prepared-vertex lookup across four rendering TUs. Split header/body traversal is preserved. All four complete rebuilt objects are baseline-byte-identical and every function remains strict 100%.
training-gain	keep	current owners	existing source	1	Two local field-specific training routines already have names; generic counter/gain/notification machinery would obscure their fields and thresholds.
vertex-projection	keep	current owners	existing source	2	OPEN capacity gates, shift direction/count, projection versus RotTrans, and scratch lifetimes differ. Keep existing projector APIs and SDK calls.
view-transform	keep	current owners	existing source	2	Optional pose publication and image-specific graphics ownership are already wrapped in render_set_view_transform; further macro extraction adds little.
