# MANUALLY REVIEWED - all current project array declarations; Clang provides coverage, semantic dispositions follow declaration/use review.
declaration	kind	owner	name	datatype	dimensions	verdict	finding	evidence	note
include/kf/game_actor.h:249	FIELD_DECL	KfActorDefinition	action_animations	KfAnimationClip[16]	16	typed_enum		include/kf/game_actor.h:249;src/game/actor.c:284;src/game/actor.c:389;src/game/actor.c:393;src/game/actor_behavior.c:140;src/game/actor_behavior.c:144;src/game/actor_behavior.c:149;src/game/actor_behavior.c:157;src/game/actor_behavior.c:165;src/game/actor_behavior.c:173;src/game/actor_behavior.c:181;src/game/actor_behavior.c:189;src/game/actor_behavior.c:199;src/game/actor_behavior.c:207;src/game/actor_behavior.c:216;src/game/actor_behavior.c:231;src/game/actor_behavior.c:235;src/game/actor_behavior.c:288;src/game/actor_behavior.c:690;src/game/actor_behavior.c:868;src/game/actor_behavior.c:876;src/game/actor_behavior.c:877;src/game/actor_behavior.c:891;src/game/actor_behavior.c:892;src/game/actor_behavior.c:926;src/game/actor_behavior.c:946;src/game/actor_behavior.c:987;src/game/actor_behavior.c:988;src/game/actor_behavior.c:1012;src/game/actor_behavior.c:1054;src/game/actor_behavior.c:1119;src/game/actor_behavior.c:1143;src/game/actor_behavior.c:1167;src/game/actor_behavior.c:1203;src/game/actor_behavior.c:1204;src/game/actor_behavior.c:1223;src/game/actor_behavior.c:1229;src/game/actor_behavior.c:1246;src/game/map_load.c:176;src/game/map_load.c:177;src/game/map_load.c:178;src/game/map_load.c:179;src/game/map_load.c:180;src/game/map_scripts.c:202;src/game/map_scripts.c:203;src/game/map_scripts.c:204;src/game/map_scripts.c:205;src/game/map_scripts.c:206	Elements retain their declared enum domain in strict C++20, including field-width wrappers.
include/kf/game_actor.h:251	FIELD_DECL	KfActorDefinition	sounds	SoundRef[3]	3	sdk_audio		include/kf/game_actor.h:251;src/game/actor_behavior.c:930;src/game/actor_behavior.c:950;src/game/actor_behavior.c:1016;src/game/actor_behavior.c:1073;src/game/actor_behavior.c:1123;src/game/actor_behavior.c:1250	SDK program, tone and note numbers passed to sound APIs; numerical handles/pitch, not game selectors.
include/kf/game_actor.h:252	FIELD_DECL	KfActorDefinition	attachment_offsets	struct KfVec3s[2]	2	aggregate		include/kf/game_actor.h:252;src/game/actor_behavior.c:525;src/game/actor_behavior.c:526;src/game/actor_behavior.c:527	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_actor.h:255	FIELD_DECL	KfActorDefinition	unknown_38	u8[2]	2	unresolved		include/kf/game_actor.h:255	meaning unresolved
include/kf/game_actor.h:256	FIELD_DECL	KfActorDefinition	action_animation_steps	u16[16]	16	numeric		include/kf/game_actor.h:256;src/game/actor_behavior.c:693;src/game/actor_behavior.c:828;src/game/actor_behavior.c:836;src/game/actor_behavior.c:871;src/game/actor_behavior.c:885;src/game/actor_behavior.c:921;src/game/actor_behavior.c:929;src/game/actor_behavior.c:949;src/game/actor_behavior.c:1006;src/game/actor_behavior.c:1015;src/game/actor_behavior.c:1018;src/game/actor_behavior.c:1122;src/game/actor_behavior.c:1125;src/game/actor_behavior.c:1189;src/game/actor_behavior.c:1232;src/game/actor_behavior.c:1241;src/game/actor_behavior.c:1249	animation step per action index; the boss death sequence keys effects on entry 4
include/kf/game_actor.h:257	FIELD_DECL	KfActorDefinition	action_animation_phases	u16[16]	16	numeric		include/kf/game_actor.h:257;src/game/actor_behavior.c:694;src/game/actor_behavior.c:930;src/game/actor_behavior.c:950;src/game/actor_behavior.c:1016;src/game/actor_behavior.c:1073;src/game/actor_behavior.c:1123;src/game/actor_behavior.c:1250	animation phase threshold per action index
include/kf/game_actor.h:264	FIELD_DECL	KfActorDefinition	attack_components	u16[3]	3	numeric		include/kf/game_actor.h:264;src/game/actor.c:506;src/game/actor.c:507;src/game/actor.c:508	three attack components
include/kf/game_actor.h:265	FIELD_DECL	KfActorDefinition	defenses	u16[5]	5	numeric		include/kf/game_actor.h:265;src/game/actor.c:348;src/game/actor.c:352;src/game/actor.c:356;src/game/actor.c:360;src/game/actor.c:364	five defense components
include/kf/game_actor.h:270	FIELD_DECL	KfActorDefinitionTable	entries	KfActorDefinition[12]	12	aggregate		include/kf/game_actor.h:270;src/game/actor.c:165;src/game/actor.c:278;src/game/actor.c:326;src/game/actor.c:435;src/game/actor.c:632;src/game/actor.c:654;src/game/collision.c:114;src/game/effect_dispatch.c:515;src/game/entity_model_render.c:48;src/game/map_load.c:176;src/game/map_load.c:177;src/game/map_load.c:178;src/game/map_load.c:179;src/game/map_load.c:180;src/game/map_scripts.c:202;src/game/map_scripts.c:203;src/game/map_scripts.c:204;src/game/map_scripts.c:205;src/game/map_scripts.c:206	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_actor.h:271	FIELD_DECL	KfActorDefinitionTable	words	u32[456]	456	encoded_storage		include/kf/game_actor.h:271;src/game/actor_pool.c:88;src/game/actor_pool.c:89	Packed/aligned copy or address view of an owning object; type semantic members separately.
include/kf/game_actor.h:273	TYPEDEF_DECL	file_scope	check_actor_definition_table_size	char[1]	1	layout_assertion		include/kf/game_actor.h:273	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_actor.h:300	FIELD_DECL	KfActorPlacement	unknown_07	u8[3]	3	unresolved		include/kf/game_actor.h:300	not read by the loader
include/kf/game_actor.h:303	FIELD_DECL	KfActorPlacement	unknown_0e	u8[2]	2	unresolved		include/kf/game_actor.h:303	not read by the loader
include/kf/game_actor.h:319	FIELD_DECL	KfActor	unknown_0c	u8[2]	2	unresolved		include/kf/game_actor.h:319	meaning unresolved
include/kf/game_actor.h:338	FIELD_DECL	KfActor	unknown_46	u8[2]	2	unresolved		include/kf/game_actor.h:338	meaning unresolved
include/kf/game_actor.h:341	TYPEDEF_DECL	file_scope	check_actor_size	char[1]	1	layout_assertion		include/kf/game_actor.h:341	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_actor.h:345	TYPEDEF_DECL	file_scope	check_actor_position	char[1]	1	layout_assertion		include/kf/game_actor.h:345	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_actor.h:346	TYPEDEF_DECL	file_scope	check_actor_rotation	char[1]	1	layout_assertion		include/kf/game_actor.h:346	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_actor.h:347	TYPEDEF_DECL	file_scope	check_actor_rotation_pad	char[1]	1	layout_assertion		include/kf/game_actor.h:347	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_actor.h:348	TYPEDEF_DECL	file_scope	check_actor_animation_cache	char[1]	1	layout_assertion		include/kf/game_actor.h:348	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_actor.h:367	FIELD_DECL	KfActorState	actors	KfActor[128]	128	aggregate		include/kf/game_actor.h:367;src/game/actor.c:89;src/game/actor.c:206;src/game/actor.c:229;src/game/actor.c:252;src/game/actor.c:277;src/game/actor.c:325;src/game/actor.c:416;src/game/actor.c:527;src/game/actor.c:615;src/game/actor.c:653;src/game/actor.c:869;src/game/actor_pool.c:15;src/game/actor_pool.c:40;src/game/collision.c:113;src/game/map_events.c:217;src/game/map_load.c:68;src/game/map_load.c:145;src/game/map_scripts.c:85;src/game/map_scripts.c:122;src/game/player_update.c:465;src/game/render_scene.c:51	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_actor.h:377	VAR_DECL	file_scope	actor_action_profiles	KfActorActionProfile[25]	25	numeric		include/kf/game_actor.h:377	Five halfword distances and random-selection weights; the row selector has its own effect-code domain.
include/kf/game_actor.h:380	VAR_DECL	file_scope	boss_death_phase_sounds	SoundRef[4]	4	sdk_audio		include/kf/game_actor.h:380;src/game/actor_behavior.c:814;src/game/actor_behavior.c:815;src/game/actor_behavior.c:816	SDK program, tone and note numbers passed to sound APIs; numerical handles/pitch, not game selectors.
include/kf/game_cd.h:25	FIELD_DECL	KfCdFileEntry	name	u8[12]	12	encoded_content		include/kf/game_cd.h:25	Glyph, text, image or signature content; not a game selector.
include/kf/game_cd.h:34	VAR_DECL	file_scope	cd_file_table	KfCdFileEntry[80]	80	sdk_record		include/kf/game_cd.h:34;src/game/cd_file.c:66;src/game/cd_file.c:68;src/game/cd_file.c:69;src/game/cd_file.c:70;src/game/cd_file.c:75;src/game/item.c:121;src/game/item.c:122;src/game/item.c:123;src/game/item.c:124	Resource filename, SDK disc location and byte extent; binary I/O descriptor.
include/kf/game_collision.h:53	FIELD_DECL	KfCollisionTarget	unknown_1a	u8[6]	6	unresolved		include/kf/game_collision.h:53	unaccessed tail before the next independently referenced state
include/kf/game_collision.h:67	VAR_DECL	file_scope	map_cell_attribute_height_table	s16[255]	255	numeric_geometry		include/kf/game_collision.h:67;src/game/actor_behavior.c:1057;src/game/effect_map_collision.c:41;src/game/magic.c:98	Signed height values looked up using typed map attributes and consumed in collision geometry.
include/kf/game_collision.h:68	VAR_DECL	file_scope	map_cell_height_records	KfCellHeightRecord[7]	7	numeric_geometry		include/kf/game_collision.h:68	Cell-height coefficients and geometric dimensions evaluated arithmetically.
include/kf/game_effect.h:280	TYPEDEF_DECL	file_scope	check_effect_render_id_size	char[1]	1	layout_assertion		include/kf/game_effect.h:280	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:308	TYPEDEF_DECL	file_scope	check_effect_record_size	char[1]	1	layout_assertion		include/kf/game_effect.h:308	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:309	TYPEDEF_DECL	file_scope	check_effect_rotation_size	char[1]	1	layout_assertion		include/kf/game_effect.h:309	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:310	TYPEDEF_DECL	file_scope	check_effect_position	char[1]	1	layout_assertion		include/kf/game_effect.h:310	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:311	TYPEDEF_DECL	file_scope	check_effect_rotation	char[1]	1	layout_assertion		include/kf/game_effect.h:311	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:312	TYPEDEF_DECL	file_scope	check_effect_rotation_vector	char[1]	1	layout_assertion		include/kf/game_effect.h:312	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:313	TYPEDEF_DECL	file_scope	check_effect_rotation_angles	char[1]	1	layout_assertion		include/kf/game_effect.h:313	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:314	TYPEDEF_DECL	file_scope	check_effect_rotation_angle_y	char[1]	1	layout_assertion		include/kf/game_effect.h:314	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:315	TYPEDEF_DECL	file_scope	check_effect_rotation_angle_z	char[1]	1	layout_assertion		include/kf/game_effect.h:315	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:316	TYPEDEF_DECL	file_scope	check_effect_rotation_y	char[1]	1	layout_assertion		include/kf/game_effect.h:316	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:317	TYPEDEF_DECL	file_scope	check_effect_rotation_z	char[1]	1	layout_assertion		include/kf/game_effect.h:317	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:318	TYPEDEF_DECL	file_scope	check_effect_rotation_pad	char[1]	1	layout_assertion		include/kf/game_effect.h:318	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:319	TYPEDEF_DECL	file_scope	check_effect_direction	char[1]	1	layout_assertion		include/kf/game_effect.h:319	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:320	TYPEDEF_DECL	file_scope	check_effect_direction_pad	char[1]	1	layout_assertion		include/kf/game_effect.h:320	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:321	TYPEDEF_DECL	file_scope	check_effect_visual	char[1]	1	layout_assertion		include/kf/game_effect.h:321	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:322	TYPEDEF_DECL	file_scope	check_effect_control	char[1]	1	layout_assertion		include/kf/game_effect.h:322	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:323	TYPEDEF_DECL	file_scope	check_effect_control_high_byte	char[1]	1	layout_assertion		include/kf/game_effect.h:323	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:324	TYPEDEF_DECL	file_scope	check_effect_propagation	char[1]	1	layout_assertion		include/kf/game_effect.h:324	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_effect.h:331	FIELD_DECL	KfEffectState	records	KfEffectRecord[48]	48	aggregate		include/kf/game_effect.h:331;src/game/actor.c:878;src/game/effect_dispatch.c:412;src/game/effect_pool.c:8;src/game/effect_pool.c:35;src/game/effect_update.c:261;src/game/magic.c:27;src/game/magic.c:173;src/game/map_object.c:509;src/game/map_object.c:518;src/game/map_object.c:523;src/game/map_object.c:539;src/game/map_object_pool.c:242;src/game/map_object_pool.c:259;src/game/map_object_pool.c:270;src/game/map_object_pool.c:278;src/game/player_use_item.c:142;src/game/render_scene.c:118	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_effect.h:336	VAR_DECL	file_scope	effect_swing_probe_offsets	SVECTOR[2]	2	numeric_geometry		include/kf/game_effect.h:336	SDK vector coordinates/rotation/displacements and padding; quantitative geometry.
include/kf/game_equipment.h:64	FIELD_DECL	KfArmorRecord	unknown_12	u8[10]	10	unresolved		include/kf/game_equipment.h:64	meaning unresolved
include/kf/game_equipment.h:73	FIELD_DECL	KfWeaponRecord	attack_components	u16[5]	5	numeric		include/kf/game_equipment.h:73;src/game/player_death.c:276;src/game/player_death.c:277;src/game/player_death.c:278;src/game/player_death.c:279;src/game/player_death.c:280	five outgoing damage components copied into player combat state
include/kf/game_equipment.h:78	FIELD_DECL	KfWeaponRecord	unknown_14	u8[8]	8	unresolved		include/kf/game_equipment.h:78	meaning unresolved
include/kf/game_equipment.h:84	TYPEDEF_DECL	file_scope	check_weapon_record_size	char[1]	1	layout_assertion		include/kf/game_equipment.h:84	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_equipment.h:88	TYPEDEF_DECL	file_scope	check_weapon_projection_distance	char[1]	1	layout_assertion		include/kf/game_equipment.h:88	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_equipment.h:89	TYPEDEF_DECL	file_scope	check_weapon_attack_z_offset	char[1]	1	layout_assertion		include/kf/game_equipment.h:89	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_equipment.h:90	TYPEDEF_DECL	file_scope	check_weapon_render_translation	char[1]	1	layout_assertion		include/kf/game_equipment.h:90	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_equipment.h:91	TYPEDEF_DECL	file_scope	check_weapon_unknown_22	char[1]	1	layout_assertion		include/kf/game_equipment.h:91	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_equipment.h:92	TYPEDEF_DECL	file_scope	check_weapon_render_rotation	char[1]	1	layout_assertion		include/kf/game_equipment.h:92	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_equipment.h:97	FIELD_DECL	KfWeaponTable	entries	KfWeaponRecord[16]	16	aggregate		include/kf/game_equipment.h:97;src/game/equipment.c:18;src/game/player_core.c:118;src/game/player_death.c:275	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_equipment.h:98	FIELD_DECL	KfWeaponTable	words	u32[176]	176	encoded_storage		include/kf/game_equipment.h:98;src/game/equipment.c:8;src/game/equipment.c:9	Packed/aligned copy or address view of an owning object; type semantic members separately.
include/kf/game_equipment.h:102	FIELD_DECL	KfArmorTable	entries	KfArmorRecord[42]	42	aggregate		include/kf/game_equipment.h:102;src/game/player_core.c:78;src/game/player_core.c:84;src/game/player_core.c:90;src/game/player_core.c:96;src/game/player_core.c:102;src/game/player_death.c:283;src/game/player_death.c:293;src/game/player_death.c:303;src/game/player_death.c:313;src/game/player_death.c:323	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_equipment.h:103	FIELD_DECL	KfArmorTable	words	u32[294]	294	encoded_storage		include/kf/game_equipment.h:103;src/game/equipment.c:28;src/game/equipment.c:29	Packed/aligned copy or address view of an owning object; type semantic members separately.
include/kf/game_equipment.h:106	TYPEDEF_DECL	file_scope	check_weapon_table_size	char[1]	1	layout_assertion		include/kf/game_equipment.h:106	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_equipment.h:107	TYPEDEF_DECL	file_scope	check_armor_table_size	char[1]	1	layout_assertion		include/kf/game_equipment.h:107	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_graphics.h:15	FIELD_DECL	KfGraphicsRuntimeGame	display_draw_environments	DRAWENV[2]	2	aggregate		include/kf/game_graphics.h:15;src/game/display_play_transition.c:39;src/game/display_play_transition.c:40;src/game/menu_runtime.c:544;src/game/render.c:108;src/game/render.c:109;src/game/render.c:110;src/game/render.c:121;src/game/render.c:122;src/game/render.c:158;src/game/render.c:164;src/game/render.c:169;src/game/render.c:170;src/game/render.c:171;src/game/render.c:172;src/game/render.c:173;src/game/render.c:174;src/game/render.c:175;src/game/render.c:176;src/game/render.c:177;src/game/render.c:285;src/game/save_system.c:817;src/game/save_system.c:818;src/game/save_system.c:819;src/game/save_system.c:842;src/game/save_system.c:843	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_graphics.h:16	FIELD_DECL	KfGraphicsRuntimeGame	display_disp_environments	DISPENV[2]	2	aggregate		include/kf/game_graphics.h:16;src/game/menu_runtime.c:545;src/game/render.c:161;src/game/render.c:167;src/game/render.c:178;src/game/render.c:286	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_graphics.h:17	FIELD_DECL	KfGraphicsRuntimeGame	unknown_20108	u8[8]	8	unresolved		include/kf/game_graphics.h:17	unresolved storage interval; no original array capacity or padding role claimed
include/kf/game_graphics.h:19	FIELD_DECL	KfGraphicsRuntimeGame	unknown_registry_20134	u8[240]	240	pointer_storage		include/kf/game_graphics.h:19;src/game/asset_registry.c:18;src/game/asset_registry.c:29;src/game/asset_registry.c:37;src/game/map_scripts.c:532;src/game/pool.c:75	Accessed through KfAssetHeader ** as the asset-pointer registry; pointer ownership needs a structural view, not an enum.
include/kf/game_graphics.h:21	FIELD_DECL	KfGraphicsRuntimeGame	pool_records	KfPoolRecord[12]	12	aggregate		include/kf/game_graphics.h:21;src/game/pool.c:210;src/game/pool.c:223;src/game/pool.c:253;src/game/pool.c:272;src/game/pool.c:286	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_graphics.h:22	FIELD_DECL	KfGraphicsRuntimeGame	unknown_projection_morph_20318	u8[16008]	16008	numeric_storage		include/kf/game_graphics.h:22;src/game/pool.c:188;src/game/pool.c:192;src/game/pool.c:202;src/game/render.c:479;src/game/render.c:501;src/game/render.c:522;src/game/render_enqueuers.c:37;src/game/render_enqueuers.c:70;src/game/render_enqueuers.c:102;src/game/render_enqueuers.c:133;src/game/render_enqueuers.c:168;src/game/render_enqueuers.c:205;src/game/render_enqueuers.c:247;src/game/render_enqueuers.c:279;src/game/render_enqueuers.c:318;src/game/render_enqueuers.c:348;src/game/render_enqueuers.c:383;src/game/render_enqueuers.c:414;src/game/render_enqueuers.c:447;src/game/render_enqueuers.c:491;src/game/render_enqueuers.c:691	Projected-vertex and morph-scratch views; current consumers perform geometry arithmetic, not selector dispatch.
include/kf/game_graphics.h:23	FIELD_DECL	KfGraphicsRuntimeGame	effect5_texture_pages	u16[3]	3	packed_gpu		include/kf/game_graphics.h:23;src/game/entity_model_render.c:65;src/game/render.c:136;src/game/render.c:139;src/game/render.c:142	GPU texture/color/address/coordinate encoding; numeric components and independent mode bits share storage.
include/kf/game_graphics.h:24	FIELD_DECL	KfGraphicsRuntimeGame	unknown_241a6	u8[10]	10	unresolved		include/kf/game_graphics.h:24	unresolved storage interval; no original array capacity or padding role claimed
include/kf/game_graphics.h:25	FIELD_DECL	KfGraphicsRuntimeGame	effect5_texture_cluts	u16[3]	3	packed_gpu		include/kf/game_graphics.h:25;src/game/entity_model_render.c:66;src/game/render.c:145;src/game/render.c:146;src/game/render.c:147	GPU texture/color/address/coordinate encoding; numeric components and independent mode bits share storage.
include/kf/game_graphics.h:26	FIELD_DECL	KfGraphicsRuntimeGame	unknown_241b6	u8[10]	10	unresolved		include/kf/game_graphics.h:26	unresolved storage interval; no original array capacity or padding role claimed
include/kf/game_graphics.h:38	FIELD_DECL	KfGraphicsRuntimeGame	notification_message_ids	KfNotificationId[8]	8	typed_enum		include/kf/game_graphics.h:38;src/game/notify_queue.c:65;src/game/notify_queue.c:66;src/game/notify_queue.c:95;src/game/notify_queue.c:97;src/game/notify_queue.c:99;src/game/notify_queue.c:131;src/game/render.c:258	Elements retain their declared enum domain in strict C++20, including field-width wrappers.
include/kf/game_graphics.h:43	FIELD_DECL	KfGraphicsRuntimeGame	unknown_241fa	u8[6]	6	unresolved		include/kf/game_graphics.h:43	unresolved storage interval; no original array capacity or padding role claimed
include/kf/game_graphics.h:44	FIELD_DECL	KfGraphicsRuntimeGame	floor_items	KfFloorItem[64]	64	typed_record	A2	include/kf/game_graphics.h:44;src/game/item.c:58;src/game/render_scene.c:100	Floor-item records now carry KfFloorItemSpriteId for their fixed-bank selector; animation_frame and position remain numerical.
include/kf/game_graphics.h:48	FIELD_DECL	KfGraphicsRuntimeGame	light_quadrant_matrices	MATRIX[4]	4	numeric_matrix		include/kf/game_graphics.h:48;src/game/render.c:228;src/game/render.c:232;src/game/render.c:236;src/game/render.c:240;src/game/render_map_cells.c:105	SDK matrix coefficients/translation; arithmetic interpolation and matrix multiplication accept quantities. KF_FIXED12_ONE names numeric Q12 unity.
include/kf/game_graphics.h:59	TYPEDEF_DECL	file_scope	check_game_graphics_display_state	char[1]	1	layout_assertion		include/kf/game_graphics.h:59	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_graphics.h:60	TYPEDEF_DECL	file_scope	check_game_graphics_display_draw_environments	char[1]	1	layout_assertion		include/kf/game_graphics.h:60	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_graphics.h:61	TYPEDEF_DECL	file_scope	check_game_graphics_display_disp_environments	char[1]	1	layout_assertion		include/kf/game_graphics.h:61	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_graphics.h:62	TYPEDEF_DECL	file_scope	check_game_graphics_unknown_20108	char[1]	1	layout_assertion		include/kf/game_graphics.h:62	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_graphics.h:63	TYPEDEF_DECL	file_scope	check_game_graphics_tmd_state	char[1]	1	layout_assertion		include/kf/game_graphics.h:63	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_graphics.h:64	TYPEDEF_DECL	file_scope	check_game_graphics_unknown_registry_20134	char[1]	1	layout_assertion		include/kf/game_graphics.h:64	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_graphics.h:65	TYPEDEF_DECL	file_scope	check_game_graphics_current_tmd_vertices	char[1]	1	layout_assertion		include/kf/game_graphics.h:65	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_graphics.h:66	TYPEDEF_DECL	file_scope	check_game_graphics_pool_records	char[1]	1	layout_assertion		include/kf/game_graphics.h:66	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_graphics.h:67	TYPEDEF_DECL	file_scope	check_game_graphics_unknown_projection_morph_20318	char[1]	1	layout_assertion		include/kf/game_graphics.h:67	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_graphics.h:68	TYPEDEF_DECL	file_scope	check_game_graphics_effect5_texture_pages	char[1]	1	layout_assertion		include/kf/game_graphics.h:68	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_graphics.h:69	TYPEDEF_DECL	file_scope	check_game_graphics_unknown_241a6	char[1]	1	layout_assertion		include/kf/game_graphics.h:69	Compile-time size, alignment or offset assertion; no runtime elements.
include/kf/game_graphics.h:70	TYPEDEF_DECL	file_scope	check_game_graphics_effect5_texture_cluts	char[1]	1	layout_assertion		include/kf/game_graphics.h:70	Compile-time size, alignment or offset assertion; no runtime elements.
